variant,level_users,n_runs,reqs,fails,error_rate_pct,availability,avg_p95_s
exp2,10,5,326,78,23.9,0.7607,139.0
exp2,20,5,346,75,21.7,0.7832,222.2
exp2,30,5,318,72,22.6,0.7736,253.2
exp2,40,5,421,249,59.1,0.4086,274.0
exp2,50,5,365,143,39.2,0.6082,295.2
exp4,10,20,505,22,4.4,0.9564,57.1
exp4,20,20,542,146,26.9,0.7306,50.9
exp4,30,20,633,86,13.6,0.8641,84.1
exp4,40,20,492,76,15.4,0.8455,100.8
exp4,50,20,178,47,26.4,0.736,67.5
exp6,10,20,737,21,2.8,0.9715,52.1
exp6,20,20,99,24,24.2,0.7576,30.4
exp6,30,6,22,0,0.0,1.0,37.0
