t_sec,replicas_avg,replicas_std,cpu_pct_avg,cpu_pct_std,n_runs
0,1.2,0.44721359549995804,10.4,23.255106965997815,5
60,2.0,0.0,79.2,24.10808992848666,5
120,2.0,0.0,89.2,21.53369452741447,5
180,2.0,0.0,105.4,1.3416407864998738,5
240,2.0,0.0,104.4,2.5099800796022262,5
300,2.0,0.0,105.6,0.5477225575051661,5
360,,,,,0
420,2.0,0.0,105.0,1.7320508075688772,5
480,2.0,0.0,104.4,1.816590212458495,5
540,2.0,0.0,104.0,2.9154759474226504,5
600,2.0,0.0,104.6,2.6076809620810595,5
660,2.0,0.0,105.2,1.3038404810405297,5
720,2.0,0.0,91.33333333333333,24.542480178933285,3
780,2.0,0.0,105.5,0.7071067811865476,2
840,2.0,0.0,104.2,1.9235384061671343,5
900,2.0,0.0,96.0,21.24852936087578,5
960,2.0,0.0,93.2,21.993180761317813,5
1020,2.0,0.0,40.8,40.00874904317804,5
1080,2.0,0.0,3.5,7.0,4
1140,2.0,0.0,0.6666666666666666,1.1547005383792517,3
1200,2.0,0.0,0.0,0.0,3
1260,2.0,0.0,0.0,0.0,5
1320,1.6,0.5477225575051661,0.0,0.0,5
1380,1.0,0.0,0.0,0.0,5
1440,1.0,0.0,0.0,0.0,3
1500,1.0,0.0,0.0,0.0,4
1560,1.0,0.0,0.0,0.0,4
1620,1.0,0.0,0.0,0.0,3
