run,t_cpu60,t_scaleout,scale_out_latency_s,t_load0,t_below60,t_scalein,scale_in_latency_s
1,70,70,0,2043.0,1412,2183,771
2,68,68,0,2031.0,628,2242,1614
3,68,68,0,2184.0,1332,2254,922
4,68,68,0,2029.0,1328,2241,913
5,68,68,0,1943.0,1873,2225,352
6,69,69,0,2180.0,1615,2250,635
7,68,68,0,2123.0,1491,2194,703
8,69,69,0,2113.0,1337,2183,846
9,69,69,0,2183.0,1760,2254,494
10,68,68,0,,1534,2168,634
11,68,68,0,2103.0,1542,2243,701
12,69,69,0,1964.0,1543,2245,702
13,69,69,0,1896.0,1544,2248,704
14,69,69,0,2178.0,1475,2248,773
15,69,69,0,2136.0,1585,2205,620
16,69,69,0,2140.0,1724,2209,485
17,69,69,0,,1586,2208,622
18,68,68,0,,1655,2207,552
19,69,69,0,2126.0,1168,2194,1026
20,69,69,0,2071.0,1448,2208,760
