run,level_users,n_requests,n_failures,error_rate,offered_req_s,received_req_s,avg_ms,p50_ms,p95_ms,max_ms,pods_steady,cpu_pct_steady,podcpu_m_steady
1,10,46,42,0.9130434782608695,0.1295061981844903,0.010126582278481013,76122.54293630431,9.0,300000.0,300031.6460040001,1.0,16.25,304.5
2,10,28,0,0.0,0.0866024336227834,0.07,102487.76646428568,105000.0,168000.0,176861.09226300006,2.0,52.5,1896.5
3,10,72,0,0.0,0.2012864212689073,0.1836734693877551,45096.794094263896,47000.0,77000.0,87741.86557099983,2.0,103.0,3751.5
4,10,77,0,0.0,0.2143331129721221,0.1934673366834171,35629.584024987016,33000.0,62000.0,69536.3687109998,2.0,91.75,3420.75
5,10,103,36,0.34951456310679613,0.2951486029986413,0.15261958997722094,30373.62216127184,21000.0,88000.0,118042.7095099999,2.0,101.75,3681.5
6,20,75,0,0.0,0.2104461511750196,0.19083969465648856,78254.18287201338,79000.0,134000.0,143383.90063600036,2.0,105.25,3746.0
7,20,42,8,0.19047619047619047,0.119375673802807,0.08740359897172237,142381.61196073814,103000.0,300000.0,300037.69023300085,2.0,60.0,2233.5
8,20,64,35,0.546875,0.1826672531116955,0.07435897435897436,97716.54858853116,74000.0,300000.0,300037.1279020001,2.0,57.75,2111.75
9,20,82,32,0.3902439024390244,0.2305368150666291,0.12853470437017994,76497.24550920726,69000.0,260000.0,260776.8253840004,2.0,59.0,2141.5
10,20,83,0,0.0,0.2309563185663117,0.2133676092544987,79100.98032131333,84000.0,117000.0,130039.16593400028,2.0,102.75,3742.75
11,30,68,0,0.0,0.1908691263129741,0.17525773195876287,116699.82265007358,116000.0,204000.0,236354.35644399968,2.0,96.0,3473.5
12,30,46,12,0.2608695652173913,0.130666271197166,0.08740359897172237,189802.94830928248,183000.0,300000.0,300037.01418899983,2.0,62.75,2269.75
13,30,53,13,0.24528301886792453,0.1475933778449173,0.10309278350515463,168964.56253033967,150000.0,300000.0,300092.34530100005,2.0,58.0,2038.0
14,30,104,35,0.33653846153846156,0.3107415278692129,0.17692307692307693,68033.62789012498,78000.0,162000.0,181062.9479120007,2.0,104.25,3766.5
15,30,47,12,0.2553191489361702,0.1332073623774341,0.08928571428571429,191531.07901242556,175000.0,300000.0,300121.66385300044,2.0,60.75,2185.25
16,40,98,67,0.6836734693877551,0.2750505517276285,0.07969151670951156,133150.95591444903,132000.0,300000.0,300084.9362469999,2.0,58.0,2114.0
17,40,44,30,0.6818181818181818,0.1225427946815538,0.03617571059431524,271033.3976973636,300000.0,300000.0,300066.5111509989,2.0,59.75,2228.75
18,40,45,22,0.4888888888888889,0.1262076137729993,0.05912596401028278,251268.2690873113,294000.0,300000.0,300066.3839379995,2.0,69.0,2442.25
19,40,172,112,0.6511627906976745,0.4790237380330433,0.15463917525773196,64391.240943133766,61000.0,170000.0,183497.63056499977,2.0,82.0,2971.5
20,40,62,18,0.2903225806451613,0.1725057885067037,0.11369509043927649,195083.32939551625,201000.0,300000.0,300061.63822300005,2.0,104.75,3784.5
21,50,60,19,0.31666666666666665,0.1685903687344015,0.10594315245478036,229196.55377535004,240000.0,300000.0,300056.6376039988,2.0,105.75,3799.75
22,50,63,24,0.38095238095238093,0.176822096551106,0.09848484848484848,216258.51413379365,242000.0,300000.0,300101.2802120004,2.0,61.75,2242.75
23,50,115,86,0.7478260869565218,0.3242601482717356,0.07512953367875648,122567.99441024353,70000.0,300000.0,300060.00954699994,2.0,71.75,2601.75
24,50,62,11,0.1774193548387097,0.1753193073526652,0.13212435233160622,191154.72356725804,224000.0,300000.0,300042.2174160001,2.0,79.25,1922.0
25,50,65,3,0.046153846153846156,0.184256591731473,0.13537117903930132,161741.1747117692,170000.0,276000.0,300021.416276,2.0,105.5,3825.5
