size,run,n_requests,n_failures,error_rate,req_s,avg_ms,p50_ms,p95_ms,pods_steady,cpu_pct_steady,delay_total_ms,delay_upstream_ms,delay_orch_ms,n_detail
large,1,36,0,0.0,0.2110984460229482,66906.83593549993,54000.0,158000.0,6.0,99.0,66905.57222222222,66896.50833333333,9.063888888888666,36
large,2,45,0,0.0,0.254637153138418,62981.10155355559,47000.0,122000.0,6.0,104.5,62979.991111111114,62965.98222222223,14.008888888888436,45
large,3,47,0,0.0,0.2639488216713154,58062.34937417021,42000.0,124000.0,6.0,105.5,58061.19361702127,58050.69148936169,10.502127659575715,47
large,4,46,0,0.0,0.2712953998275379,61594.39458493475,74000.0,85000.0,6.0,105.0,61593.3152173913,61583.53043478261,9.784782608695384,46
large,5,49,0,0.0,0.2784021583626554,56544.03953293873,42000.0,120000.0,6.0,106.0,57832.001999999986,57821.582,10.419999999998872,50
large,6,33,0,0.0,0.1937044189114734,70256.10056578799,51000.0,154000.0,6.0,88.0,70254.86666666667,70244.24848484849,10.618181818182745,33
large,7,46,0,0.0,0.260701480968922,62057.80865639135,51000.0,127000.0,6.0,105.0,62056.7695652174,62047.79565217392,8.97391304347694,46
large,8,49,0,0.0,0.279570080984374,57419.28521232661,42000.0,93000.0,6.0,105.5,57418.191836734695,57408.204081632655,9.987755102040177,49
large,9,50,0,0.0,0.2803787213889256,57665.67722644001,42000.0,103000.0,6.0,100.5,57664.473999999995,57654.36,10.114000000001178,50
large,10,40,0,0.0,0.2300340192310022,67960.38833207505,79000.0,121000.0,6.0,85.5,67959.26499999998,67950.3375,8.927499999998872,40
medium,1,92,0,0.0,0.5127800868737054,33303.09696490217,25000.0,82000.0,6.0,103.5,33254.741935483864,33245.205376344085,9.536559139785002,93
medium,2,94,0,0.0,0.5241309830425654,32241.325219946804,37000.0,60000.0,6.0,104.0,32240.454255319146,32231.58404255319,8.870212765957904,94
medium,3,99,0,0.0,0.5641388441677366,30475.978138242404,21000.0,59000.0,6.0,99.5,30475.156565656565,30465.777777777774,9.378787878787751,99
medium,4,86,0,0.0,0.4835686200750951,32916.24496305811,32000.0,60000.0,6.0,95.0,32915.34418604651,32906.424418604656,8.919767441860914,86
medium,5,73,0,0.0,0.4143595837750143,33047.968009958946,39000.0,41000.0,6.0,81.5,33046.85205479452,33036.136986301375,10.715068493150495,73
medium,6,91,0,0.0,0.5076470865342599,33651.16526174725,36000.0,61000.0,6.0,104.0,33650.316483516486,33642.113186813185,8.203296703296463,91
medium,7,96,0,0.0,0.5406914616585033,31583.49406246876,34000.0,53000.0,6.0,104.5,31814.78144329897,31806.28350515464,8.497938144330002,97
medium,8,101,0,0.0,0.5657249171435269,30538.19618538612,28000.0,61000.0,6.0,102.0,30537.211881188123,30526.964356435637,10.247524752475464,101
medium,9,99,0,0.0,0.5564983731717937,30258.16091643429,21000.0,60000.0,6.0,103.0,30257.335353535356,30247.05454545455,10.28080808080811,99
medium,10,79,0,0.0,0.4423899926275014,30723.60543870886,28000.0,57000.0,6.0,90.0,30722.973417721525,30714.044303797473,8.929113924050467,79
mix,1,112,0,0.0,0.6241154128278869,27578.566108071365,23000.0,64000.0,6.0,99.5,27577.739285714284,27568.149107142857,9.590178571428615,112
mix,2,117,0,0.0,0.6535526720042957,25442.05395875227,25000.0,62000.0,6.0,102.5,25441.1641025641,25432.48632478633,8.67777777777786,117
mix,3,82,0,0.0,0.4583211720723067,36837.55382921969,32000.0,74000.0,6.0,85.5,36836.49634146342,36826.626829268294,9.869512195122232,82
mix,4,125,0,0.0,0.698620719640397,24280.812689063976,21000.0,61000.0,6.0,106.0,24280.213600000003,24269.759200000004,10.454399999999842,125
mix,5,118,0,0.0,0.6615961242954123,26178.040980016936,22000.0,55000.0,6.0,105.5,26315.400000000005,26305.633613445374,9.766386554621795,119
mix,6,106,0,0.0,0.5949378951421109,28648.162388622597,25000.0,66000.0,6.0,105.5,28647.41981132075,28637.265094339622,10.154716981132303,106
mix,7,103,0,0.0,0.5767242218948075,28867.72713483493,24000.0,61000.0,6.0,106.0,28867.16893203883,28857.787378640776,9.381553398058404,103
mix,8,110,0,0.0,0.61465315017116,27371.588580581792,26000.0,72000.0,6.0,95.5,27370.994545454545,27363.41,7.584545454545295,110
mix,9,79,0,0.0,0.4404969233654398,38332.10614025323,35000.0,80000.0,6.0,70.5,38331.1658227848,38321.303797468354,9.862025316456126,79
mix,10,131,0,0.0,0.7364805960575251,22901.94756399233,19000.0,57000.0,6.0,106.0,22901.17251908397,22891.49847328244,9.674045801526706,131
small,1,319,0,0.0,1.78997387371461,9483.353244413796,6700.0,25000.0,6.0,90.5,9447.384112149532,9439.892523364486,7.491588785046778,321
small,2,381,0,0.0,2.128532941604625,7912.921293926506,8400.0,14000.0,6.0,98.5,7903.513874345551,7895.180104712042,8.333769633507876,382
