1787422349 llm-proxy-857bf6d79d-4vp47   278m    2017Mi   
1787422349 llm-proxy-857bf6d79d-jlz5f   273m    2021Mi   
1787422349 llm-proxy-857bf6d79d-mb6wl   1432m   1399Mi   
1787422349 llm-proxy-857bf6d79d-thxs6   374m    1851Mi   
1787422422 llm-proxy-857bf6d79d-4vp47   255m    2018Mi   
1787422422 llm-proxy-857bf6d79d-jlz5f   249m    2022Mi   
1787422422 llm-proxy-857bf6d79d-mb6wl   1927m   1424Mi   
1787422422 llm-proxy-857bf6d79d-thxs6   1912m   1866Mi   
1787422495 llm-proxy-857bf6d79d-4vp47   255m    2018Mi   
1787422495 llm-proxy-857bf6d79d-jlz5f   303m    2019Mi   
1787422495 llm-proxy-857bf6d79d-mb6wl   1899m   1645Mi   
1787422495 llm-proxy-857bf6d79d-thxs6   1909m   1866Mi   
