1787422514 llm-proxy-857bf6d79d-4vp47   260m   2019Mi   
1787422514 llm-proxy-857bf6d79d-jlz5f   284m   2048Mi   
1787422514 llm-proxy-857bf6d79d-mb6wl   4m     1645Mi   
1787422514 llm-proxy-857bf6d79d-thxs6   37m    1866Mi   
1787422587 llm-proxy-857bf6d79d-4vp47   262m    2020Mi   
1787422587 llm-proxy-857bf6d79d-jlz5f   226m    2048Mi   
1787422587 llm-proxy-857bf6d79d-mb6wl   1825m   1786Mi   
1787422587 llm-proxy-857bf6d79d-thxs6   1914m   1906Mi   
1787422661 llm-proxy-857bf6d79d-4vp47   270m    2020Mi   
1787422661 llm-proxy-857bf6d79d-jlz5f   232m    2049Mi   
1787422661 llm-proxy-857bf6d79d-mb6wl   1916m   1907Mi   
1787422661 llm-proxy-857bf6d79d-thxs6   1911m   1906Mi   
