1787419504 llm-proxy-857bf6d79d-4vp47   4m      410Mi    
1787419504 llm-proxy-857bf6d79d-jlz5f   354m    413Mi    
1787419504 llm-proxy-857bf6d79d-lzjc4   1909m   1428Mi   
1787419504 llm-proxy-857bf6d79d-thxs6   1927m   1069Mi   
1787419576 llm-proxy-857bf6d79d-4vp47   1304m   783Mi    
1787419576 llm-proxy-857bf6d79d-jlz5f   1754m   897Mi    
1787419576 llm-proxy-857bf6d79d-lzjc4   1919m   1579Mi   
1787419576 llm-proxy-857bf6d79d-thxs6   1528m   1123Mi   
1787419650 llm-proxy-857bf6d79d-4vp47   1546m   930Mi    
1787419650 llm-proxy-857bf6d79d-jlz5f   1908m   1165Mi   
1787419650 llm-proxy-857bf6d79d-lzjc4   1920m   1679Mi   
1787419650 llm-proxy-857bf6d79d-thxs6   1920m   1322Mi   
