1787425570 llm-proxy-857bf6d79d-c9h2m   1877m   1266Mi   
1787425570 llm-proxy-857bf6d79d-fcpf2   1901m   1962Mi   
1787425570 llm-proxy-857bf6d79d-hz7k2   1222m   1245Mi   
1787425570 llm-proxy-857bf6d79d-jlz5f   1823m   1804Mi   
1787425642 llm-proxy-857bf6d79d-c9h2m   1707m   1386Mi   
1787425642 llm-proxy-857bf6d79d-fcpf2   1916m   534Mi    
1787425642 llm-proxy-857bf6d79d-hz7k2   1909m   1249Mi   
1787425642 llm-proxy-857bf6d79d-jlz5f   1869m   1785Mi   
1787425715 llm-proxy-857bf6d79d-c9h2m   1906m   1642Mi   
1787425715 llm-proxy-857bf6d79d-fcpf2   1909m   773Mi    
1787425715 llm-proxy-857bf6d79d-hz7k2   1898m   1401Mi   
1787425715 llm-proxy-857bf6d79d-jlz5f   1805m   1946Mi   
