1787428828 llm-proxy-857bf6d79d-968zr   4m      205Mi    
1787428828 llm-proxy-857bf6d79d-d577b   1908m   1553Mi   
1787428828 llm-proxy-857bf6d79d-jlz5f   293m    2007Mi   
1787428828 llm-proxy-857bf6d79d-kjg95   1813m   806Mi    
1787428900 llm-proxy-857bf6d79d-968zr   1902m   477Mi    
1787428900 llm-proxy-857bf6d79d-d577b   1912m   1563Mi   
1787428900 llm-proxy-857bf6d79d-jlz5f   302m    2023Mi   
1787428900 llm-proxy-857bf6d79d-kjg95   1914m   1015Mi   
1787428972 llm-proxy-857bf6d79d-968zr   1835m   718Mi    
1787428972 llm-proxy-857bf6d79d-d577b   1912m   1711Mi   
1787428972 llm-proxy-857bf6d79d-jlz5f   297m    2023Mi   
1787428972 llm-proxy-857bf6d79d-kjg95   1909m   1132Mi   
