1787429812 llm-proxy-857bf6d79d-968zr   214m    206Mi    
1787429812 llm-proxy-857bf6d79d-d577b   1910m   1407Mi   
1787429812 llm-proxy-857bf6d79d-jlz5f   1908m   1295Mi   
1787429812 llm-proxy-857bf6d79d-kjg95   1914m   1681Mi   
1787429883 llm-proxy-857bf6d79d-968zr   1881m   634Mi    
1787429883 llm-proxy-857bf6d79d-d577b   1917m   1386Mi   
1787429883 llm-proxy-857bf6d79d-jlz5f   1914m   1500Mi   
1787429883 llm-proxy-857bf6d79d-kjg95   1913m   1899Mi   
1787429956 llm-proxy-857bf6d79d-968zr   1815m   789Mi    
1787429956 llm-proxy-857bf6d79d-d577b   1905m   1525Mi   
1787429956 llm-proxy-857bf6d79d-jlz5f   1809m   1817Mi   
1787429956 llm-proxy-857bf6d79d-kjg95   1889m   2039Mi   
