1787430793 llm-proxy-857bf6d79d-968zr   1887m   605Mi    
1787430793 llm-proxy-857bf6d79d-d577b   1927m   1302Mi   
1787430793 llm-proxy-857bf6d79d-jlz5f   296m    2017Mi   
1787430793 llm-proxy-857bf6d79d-kjg95   1908m   1821Mi   
1787430865 llm-proxy-857bf6d79d-968zr   1763m   876Mi    
1787430865 llm-proxy-857bf6d79d-d577b   1916m   1302Mi   
1787430865 llm-proxy-857bf6d79d-jlz5f   333m    2016Mi   
1787430865 llm-proxy-857bf6d79d-kjg95   1911m   1860Mi   
1787430938 llm-proxy-857bf6d79d-968zr   1900m   1119Mi   
1787430938 llm-proxy-857bf6d79d-d577b   1892m   1544Mi   
1787430938 llm-proxy-857bf6d79d-jlz5f   314m    2013Mi   
1787430938 llm-proxy-857bf6d79d-kjg95   1901m   2057Mi   
