1787431127 llm-proxy-857bf6d79d-968zr   1897m   1379Mi   
1787431127 llm-proxy-857bf6d79d-d577b   1904m   1723Mi   
1787431127 llm-proxy-857bf6d79d-jlz5f   337m    1993Mi   
1787431127 llm-proxy-857bf6d79d-kjg95   905m    703Mi    
1787431198 llm-proxy-857bf6d79d-968zr   1904m   1441Mi   
1787431198 llm-proxy-857bf6d79d-d577b   1923m   1770Mi   
1787431198 llm-proxy-857bf6d79d-jlz5f   295m    2014Mi   
1787431198 llm-proxy-857bf6d79d-kjg95   1916m   955Mi    
1787431270 llm-proxy-857bf6d79d-968zr   1894m   1563Mi   
1787431270 llm-proxy-857bf6d79d-d577b   1921m   1784Mi   
1787431270 llm-proxy-857bf6d79d-jlz5f   302m    2010Mi   
1787431270 llm-proxy-857bf6d79d-kjg95   1919m   1251Mi   
