1787443302 llm-proxy-857bf6d79d-l4sc7   1923m   1288Mi   
1787443302 llm-proxy-857bf6d79d-tmxvt   4m      407Mi    
1787443302 llm-proxy-857bf6d79d-z8vvr   1909m   1117Mi   
1787443376 llm-proxy-857bf6d79d-gbrzg   1917m   600Mi    
1787443376 llm-proxy-857bf6d79d-l4sc7   1900m   1263Mi   
1787443376 llm-proxy-857bf6d79d-tmxvt   1926m   779Mi    
1787443376 llm-proxy-857bf6d79d-z8vvr   1916m   1342Mi   
1787443449 llm-proxy-857bf6d79d-gbrzg   1921m   976Mi    
1787443449 llm-proxy-857bf6d79d-l4sc7   1908m   1383Mi   
1787443449 llm-proxy-857bf6d79d-tmxvt   1841m   1135Mi   
1787443449 llm-proxy-857bf6d79d-z8vvr   1871m   1515Mi   
