1787444467 llm-proxy-857bf6d79d-l4sc7   481m    2056Mi   
1787444467 llm-proxy-857bf6d79d-tmxvt   1872m   1912Mi   
1787444467 llm-proxy-857bf6d79d-z8vvr   886m    1949Mi   
1787444538 llm-proxy-857bf6d79d-gbrzg   1921m   540Mi    
1787444538 llm-proxy-857bf6d79d-l4sc7   256m    2057Mi   
1787444538 llm-proxy-857bf6d79d-tmxvt   1915m   1909Mi   
1787444538 llm-proxy-857bf6d79d-z8vvr   241m    1943Mi   
1787444610 llm-proxy-857bf6d79d-gbrzg   1905m   999Mi    
1787444610 llm-proxy-857bf6d79d-l4sc7   263m    2057Mi   
1787444610 llm-proxy-857bf6d79d-tmxvt   769m    1962Mi   
1787444610 llm-proxy-857bf6d79d-z8vvr   296m    2055Mi   
