ts,status,size,total_ms,upstream_ms
1787445635,200,medium,9679.4,9667.8
1787445645,200,medium,19639.9,19631.2
1787445665,200,medium,39941.8,39923.0
1787445670,200,small,43957.8,43946.8
1787445678,200,large,52740.0,52730.9
1787445686,200,small,60407.1,60395.2
1787445691,200,small,61350.9,61336.2
1787445706,200,small,73905.5,73896.4
1787445713,200,medium,82208.3,82196.5
1787445716,200,medium,88856.8,88848.9
1787445718,200,small,84160.7,84145.0
1787445727,200,medium,93689.9,93672.4
1787445727,200,small,96800.8,96786.8
1787445732,200,small,97771.0,97746.0
1787445738,200,medium,103800.8,103794.2
