1787446417 llm-proxy-857bf6d79d-gbrzg   1910m   2027Mi   
1787446417 llm-proxy-857bf6d79d-l4sc7   257m    1955Mi   
1787446417 llm-proxy-857bf6d79d-z8vvr   427m    2046Mi   
1787446488 llm-proxy-857bf6d79d-gbrzg   1909m   2044Mi   
1787446488 llm-proxy-857bf6d79d-l4sc7   272m    1955Mi   
1787446488 llm-proxy-857bf6d79d-tmxvt   1912m   772Mi    
1787446488 llm-proxy-857bf6d79d-z8vvr   253m    2041Mi   
1787446559 llm-proxy-857bf6d79d-gbrzg   1921m   2044Mi   
1787446559 llm-proxy-857bf6d79d-l4sc7   248m    1943Mi   
1787446559 llm-proxy-857bf6d79d-tmxvt   1936m   1189Mi   
1787446559 llm-proxy-857bf6d79d-z8vvr   241m    2041Mi   
