1787447061 llm-proxy-857bf6d79d-gbrzg   490m    2007Mi   
1787447061 llm-proxy-857bf6d79d-l4sc7   1911m   1955Mi   
1787447061 llm-proxy-857bf6d79d-tmxvt   1913m   1838Mi   
1787447061 llm-proxy-857bf6d79d-z8vvr   271m    2042Mi   
1787447132 llm-proxy-857bf6d79d-gbrzg   218m    2076Mi   
1787447132 llm-proxy-857bf6d79d-l4sc7   1911m   1956Mi   
1787447132 llm-proxy-857bf6d79d-tmxvt   1834m   1858Mi   
1787447132 llm-proxy-857bf6d79d-z8vvr   272m    2044Mi   
1787447204 llm-proxy-857bf6d79d-gbrzg   523m    2073Mi   
1787447204 llm-proxy-857bf6d79d-l4sc7   1915m   1956Mi   
1787447204 llm-proxy-857bf6d79d-tmxvt   1912m   2080Mi   
1787447204 llm-proxy-857bf6d79d-z8vvr   253m    2044Mi   
