1787451525 llm-proxy-857bf6d79d-7gjc5   239m    1910Mi   
1787451525 llm-proxy-857bf6d79d-btt2w   4m      710Mi    
1787451525 llm-proxy-857bf6d79d-l4sc7   91m     2025Mi   
1787451525 llm-proxy-857bf6d79d-pzkd8   4m      1535Mi   
1787451525 llm-proxy-857bf6d79d-s2k7d   1927m   1186Mi   
1787451525 llm-proxy-857bf6d79d-w29hf   251m    2005Mi   
1787451597 llm-proxy-857bf6d79d-7gjc5   223m    1981Mi   
1787451597 llm-proxy-857bf6d79d-btt2w   1910m   954Mi    
1787451597 llm-proxy-857bf6d79d-l4sc7   91m     2069Mi   
1787451597 llm-proxy-857bf6d79d-pzkd8   1771m   1674Mi   
1787451597 llm-proxy-857bf6d79d-s2k7d   1841m   1367Mi   
1787451597 llm-proxy-857bf6d79d-w29hf   252m    2006Mi   
1787451668 llm-proxy-857bf6d79d-7gjc5   227m    1980Mi   
1787451668 llm-proxy-857bf6d79d-btt2w   1821m   1150Mi   
1787451668 llm-proxy-857bf6d79d-l4sc7   79m     2067Mi   
1787451668 llm-proxy-857bf6d79d-pzkd8   1787m   1800Mi   
1787451668 llm-proxy-857bf6d79d-s2k7d   1920m   1507Mi   
1787451668 llm-proxy-857bf6d79d-w29hf   263m    2006Mi   
