1787452168 llm-proxy-857bf6d79d-7gjc5   225m   1979Mi   
1787452168 llm-proxy-857bf6d79d-l4sc7   79m    2084Mi   
1787452168 llm-proxy-857bf6d79d-pzkd8   503m   2025Mi   
1787452168 llm-proxy-857bf6d79d-w29hf   260m   2076Mi   
1787452239 llm-proxy-857bf6d79d-7gjc5   239m    1983Mi   
1787452239 llm-proxy-857bf6d79d-l4sc7   80m     2084Mi   
1787452239 llm-proxy-857bf6d79d-pzkd8   1918m   2064Mi   
1787452239 llm-proxy-857bf6d79d-w29hf   228m    2073Mi   
1787452311 llm-proxy-857bf6d79d-7gjc5   268m   1982Mi   
1787452311 llm-proxy-857bf6d79d-l4sc7   97m    2084Mi   
1787452311 llm-proxy-857bf6d79d-w29hf   225m   2073Mi   
