1787449260 llm-proxy-857bf6d79d-btt2w   1922m   1031Mi   
1787449260 llm-proxy-857bf6d79d-l4sc7   97m     1955Mi   
1787449260 llm-proxy-857bf6d79d-pzkd8   1581m   699Mi    
1787449260 llm-proxy-857bf6d79d-s2k7d   3m      205Mi    
1787449331 llm-proxy-857bf6d79d-btt2w   1913m   1166Mi   
1787449331 llm-proxy-857bf6d79d-l4sc7   90m     1937Mi   
1787449331 llm-proxy-857bf6d79d-pzkd8   1725m   912Mi    
1787449331 llm-proxy-857bf6d79d-s2k7d   4m      205Mi    
1787449403 llm-proxy-857bf6d79d-btt2w   1910m   1401Mi   
1787449403 llm-proxy-857bf6d79d-l4sc7   107m    1960Mi   
1787449403 llm-proxy-857bf6d79d-pzkd8   1913m   1049Mi   
1787449403 llm-proxy-857bf6d79d-s2k7d   4m      205Mi    
