1787449908 llm-proxy-857bf6d79d-7gjc5   1639m   1437Mi   
1787449908 llm-proxy-857bf6d79d-btt2w   5m      1896Mi   
1787449908 llm-proxy-857bf6d79d-l4sc7   100m    1947Mi   
1787449908 llm-proxy-857bf6d79d-pzkd8   252m    1803Mi   
1787449908 llm-proxy-857bf6d79d-s2k7d   1927m   1008Mi   
1787449908 llm-proxy-857bf6d79d-w29hf   361m    1354Mi   
1787449979 llm-proxy-857bf6d79d-7gjc5   1915m   1451Mi   
1787449979 llm-proxy-857bf6d79d-l4sc7   101m    1942Mi   
1787449979 llm-proxy-857bf6d79d-pzkd8   1911m   1944Mi   
1787449979 llm-proxy-857bf6d79d-s2k7d   1938m   1167Mi   
1787449979 llm-proxy-857bf6d79d-w29hf   1805m   1424Mi   
1787450051 llm-proxy-857bf6d79d-7gjc5   1890m   1578Mi   
1787450051 llm-proxy-857bf6d79d-btt2w   1714m   542Mi    
1787450051 llm-proxy-857bf6d79d-l4sc7   101m    1943Mi   
1787450051 llm-proxy-857bf6d79d-pzkd8   1741m   1944Mi   
1787450051 llm-proxy-857bf6d79d-s2k7d   1816m   1391Mi   
1787450051 llm-proxy-857bf6d79d-w29hf   1673m   1443Mi   
