1787474732 llm-proxy-857bf6d79d-9hsvr   1869m   1554Mi   
1787474732 llm-proxy-857bf6d79d-fhbgs   1916m   1655Mi   
1787474732 llm-proxy-857bf6d79d-kj8vp   1783m   1030Mi   
1787474732 llm-proxy-857bf6d79d-n29qk   1858m   1724Mi   
1787474732 llm-proxy-857bf6d79d-ncklk   1826m   1701Mi   
1787474804 llm-proxy-857bf6d79d-79btg   1928m   826Mi    
1787474804 llm-proxy-857bf6d79d-9hsvr   1852m   1691Mi   
1787474804 llm-proxy-857bf6d79d-fhbgs   1910m   1798Mi   
1787474804 llm-proxy-857bf6d79d-kj8vp   1893m   1241Mi   
1787474804 llm-proxy-857bf6d79d-n29qk   1926m   1932Mi   
1787474804 llm-proxy-857bf6d79d-ncklk   1901m   1899Mi   
1787474876 llm-proxy-857bf6d79d-79btg   1910m   979Mi    
1787474876 llm-proxy-857bf6d79d-9hsvr   1914m   1667Mi   
1787474876 llm-proxy-857bf6d79d-fhbgs   1921m   1798Mi   
1787474876 llm-proxy-857bf6d79d-kj8vp   1912m   1321Mi   
1787474876 llm-proxy-857bf6d79d-n29qk   1914m   2036Mi   
1787474876 llm-proxy-857bf6d79d-ncklk   1910m   2078Mi   
