1787474895 llm-proxy-857bf6d79d-79btg   1928m   979Mi    
1787474895 llm-proxy-857bf6d79d-9hsvr   1910m   1667Mi   
1787474895 llm-proxy-857bf6d79d-fhbgs   1741m   1798Mi   
1787474895 llm-proxy-857bf6d79d-kj8vp   1724m   1321Mi   
1787474895 llm-proxy-857bf6d79d-n29qk   1578m   2036Mi   
1787474895 llm-proxy-857bf6d79d-ncklk   1793m   2078Mi   
1787474966 llm-proxy-857bf6d79d-79btg   1921m   1137Mi   
1787474966 llm-proxy-857bf6d79d-9hsvr   1903m   1667Mi   
1787474966 llm-proxy-857bf6d79d-fhbgs   1824m   1822Mi   
1787474966 llm-proxy-857bf6d79d-kj8vp   1822m   1479Mi   
1787474966 llm-proxy-857bf6d79d-n29qk   1819m   2037Mi   
1787474966 llm-proxy-857bf6d79d-ncklk   1838m   595Mi    
1787475038 llm-proxy-857bf6d79d-79btg   1923m   1393Mi   
1787475038 llm-proxy-857bf6d79d-9hsvr   1914m   1766Mi   
1787475038 llm-proxy-857bf6d79d-fhbgs   1904m   1882Mi   
1787475038 llm-proxy-857bf6d79d-kj8vp   1840m   1578Mi   
1787475038 llm-proxy-857bf6d79d-n29qk   1914m   457Mi    
1787475038 llm-proxy-857bf6d79d-ncklk   1914m   860Mi    
