1787475387 llm-proxy-857bf6d79d-79btg   1908m   1763Mi   
1787475387 llm-proxy-857bf6d79d-9hsvr   302m    759Mi    
1787475387 llm-proxy-857bf6d79d-kj8vp   1770m   1809Mi   
1787475387 llm-proxy-857bf6d79d-n29qk   1769m   1308Mi   
1787475387 llm-proxy-857bf6d79d-ncklk   1904m   1753Mi   
1787475459 llm-proxy-857bf6d79d-79btg   1911m   1862Mi   
1787475459 llm-proxy-857bf6d79d-9hsvr   1893m   959Mi    
1787475459 llm-proxy-857bf6d79d-fhbgs   1904m   622Mi    
1787475459 llm-proxy-857bf6d79d-kj8vp   1863m   1829Mi   
1787475459 llm-proxy-857bf6d79d-n29qk   1912m   1286Mi   
1787475459 llm-proxy-857bf6d79d-ncklk   1902m   1831Mi   
1787475531 llm-proxy-857bf6d79d-79btg   1918m   1952Mi   
1787475531 llm-proxy-857bf6d79d-9hsvr   1923m   1167Mi   
1787475531 llm-proxy-857bf6d79d-fhbgs   1905m   802Mi    
1787475531 llm-proxy-857bf6d79d-kj8vp   1886m   1829Mi   
1787475531 llm-proxy-857bf6d79d-n29qk   1902m   1415Mi   
1787475531 llm-proxy-857bf6d79d-ncklk   1924m   1825Mi   
