1787476199 llm-proxy-857bf6d79d-79btg   111m    2028Mi   
1787476199 llm-proxy-857bf6d79d-9hsvr   1915m   1968Mi   
1787476199 llm-proxy-857bf6d79d-fhbgs   1908m   1680Mi   
1787476199 llm-proxy-857bf6d79d-kj8vp   1896m   1451Mi   
1787476199 llm-proxy-857bf6d79d-n29qk   1919m   1023Mi   
1787476199 llm-proxy-857bf6d79d-ncklk   1908m   1538Mi   
1787476271 llm-proxy-857bf6d79d-79btg   102m    2026Mi   
1787476271 llm-proxy-857bf6d79d-fhbgs   1715m   1757Mi   
1787476271 llm-proxy-857bf6d79d-kj8vp   1895m   1648Mi   
1787476271 llm-proxy-857bf6d79d-n29qk   1902m   1145Mi   
1787476271 llm-proxy-857bf6d79d-ncklk   1903m   1582Mi   
1787476343 llm-proxy-857bf6d79d-79btg   95m     2025Mi   
1787476343 llm-proxy-857bf6d79d-9hsvr   1910m   776Mi    
1787476343 llm-proxy-857bf6d79d-fhbgs   1743m   1777Mi   
1787476343 llm-proxy-857bf6d79d-kj8vp   1684m   1646Mi   
1787476343 llm-proxy-857bf6d79d-n29qk   1806m   1242Mi   
1787476343 llm-proxy-857bf6d79d-ncklk   1734m   1621Mi   
