1787477008 llm-proxy-857bf6d79d-79btg   93m     2036Mi   
1787477008 llm-proxy-857bf6d79d-9hsvr   1886m   1485Mi   
1787477008 llm-proxy-857bf6d79d-fhbgs   1925m   1517Mi   
1787477008 llm-proxy-857bf6d79d-kj8vp   1780m   1447Mi   
1787477008 llm-proxy-857bf6d79d-n29qk   1911m   474Mi    
1787477008 llm-proxy-857bf6d79d-ncklk   1897m   1907Mi   
1787477080 llm-proxy-857bf6d79d-79btg   99m     2017Mi   
1787477080 llm-proxy-857bf6d79d-9hsvr   1907m   1551Mi   
1787477080 llm-proxy-857bf6d79d-fhbgs   1914m   1656Mi   
1787477080 llm-proxy-857bf6d79d-kj8vp   1876m   1741Mi   
1787477080 llm-proxy-857bf6d79d-n29qk   1924m   717Mi    
1787477080 llm-proxy-857bf6d79d-ncklk   1911m   1948Mi   
1787477151 llm-proxy-857bf6d79d-79btg   87m     2018Mi   
1787477151 llm-proxy-857bf6d79d-9hsvr   1902m   1732Mi   
1787477151 llm-proxy-857bf6d79d-fhbgs   1915m   1656Mi   
1787477151 llm-proxy-857bf6d79d-kj8vp   1907m   1777Mi   
1787477151 llm-proxy-857bf6d79d-n29qk   1903m   857Mi    
1787477151 llm-proxy-857bf6d79d-ncklk   1908m   1987Mi   
