1787925386 llm-proxy-7dc458997b-5rdc2   285m   403Mi   
1787925453 llm-proxy-7dc458997b-5rdc2   1452m   620Mi   
1787925520 llm-proxy-7dc458997b-5rdc2   1801m   779Mi   
1787925520 llm-proxy-7dc458997b-p2zdm   1901m   644Mi   
1787925587 llm-proxy-7dc458997b-5rdc2   1906m   1204Mi   
1787925587 llm-proxy-7dc458997b-9dwsh   4m      419Mi    
1787925587 llm-proxy-7dc458997b-kvsdk   4m      420Mi    
1787925587 llm-proxy-7dc458997b-p2zdm   1898m   987Mi    
1787925655 llm-proxy-7dc458997b-5rdc2   1905m   1141Mi   
1787925655 llm-proxy-7dc458997b-9dwsh   4m      419Mi    
1787925655 llm-proxy-7dc458997b-kvsdk   4m      420Mi    
1787925655 llm-proxy-7dc458997b-p2zdm   1913m   1045Mi   
1787925722 llm-proxy-7dc458997b-5rdc2   1911m   1258Mi   
1787925722 llm-proxy-7dc458997b-9dwsh   4m      419Mi    
1787925722 llm-proxy-7dc458997b-kvsdk   4m      420Mi    
1787925722 llm-proxy-7dc458997b-p2zdm   1909m   1140Mi   
1787925790 llm-proxy-7dc458997b-5rdc2   1917m   1414Mi   
1787925790 llm-proxy-7dc458997b-9dwsh   4m      419Mi    
1787925790 llm-proxy-7dc458997b-kvsdk   4m      420Mi    
1787925790 llm-proxy-7dc458997b-p2zdm   1910m   1323Mi   
1787925857 llm-proxy-7dc458997b-5rdc2   1818m   1589Mi   
1787925857 llm-proxy-7dc458997b-9dwsh   1667m   721Mi    
1787925857 llm-proxy-7dc458997b-kvsdk   1862m   533Mi    
1787925857 llm-proxy-7dc458997b-p2zdm   1827m   1505Mi   
1787925924 llm-proxy-7dc458997b-5rdc2   1784m   1736Mi   
1787925924 llm-proxy-7dc458997b-9dwsh   1677m   1060Mi   
1787925924 llm-proxy-7dc458997b-kvsdk   1917m   780Mi    
1787925924 llm-proxy-7dc458997b-p2zdm   1835m   1564Mi   
1787925991 llm-proxy-7dc458997b-5rdc2   1915m   1932Mi   
1787925991 llm-proxy-7dc458997b-87wf2   4m      461Mi    
1787925991 llm-proxy-7dc458997b-9dwsh   1922m   1287Mi   
1787925991 llm-proxy-7dc458997b-gxd5j   4m      418Mi    
1787925991 llm-proxy-7dc458997b-kvsdk   1923m   1097Mi   
1787925991 llm-proxy-7dc458997b-p2zdm   1914m   1664Mi   
1787926058 llm-proxy-7dc458997b-5rdc2   1910m   2075Mi   
1787926058 llm-proxy-7dc458997b-87wf2   3m      459Mi    
1787926058 llm-proxy-7dc458997b-9dwsh   1924m   1341Mi   
1787926058 llm-proxy-7dc458997b-gxd5j   3m      417Mi    
1787926058 llm-proxy-7dc458997b-kvsdk   1921m   1209Mi   
1787926058 llm-proxy-7dc458997b-p2zdm   1832m   1821Mi   
1787926125 llm-proxy-7dc458997b-5rdc2   1906m   2239Mi   
1787926125 llm-proxy-7dc458997b-87wf2   4m      457Mi    
1787926125 llm-proxy-7dc458997b-9dwsh   1913m   1385Mi   
1787926125 llm-proxy-7dc458997b-gxd5j   4m      417Mi    
1787926125 llm-proxy-7dc458997b-kvsdk   1905m   1472Mi   
1787926125 llm-proxy-7dc458997b-p2zdm   1913m   1988Mi   
1787926192 llm-proxy-7dc458997b-5rdc2   1913m   2304Mi   
1787926192 llm-proxy-7dc458997b-87wf2   3m      457Mi    
1787926192 llm-proxy-7dc458997b-9dwsh   1890m   1382Mi   
1787926192 llm-proxy-7dc458997b-gxd5j   3m      415Mi    
1787926192 llm-proxy-7dc458997b-kvsdk   1897m   1641Mi   
1787926192 llm-proxy-7dc458997b-p2zdm   1910m   1988Mi   
1787926259 llm-proxy-7dc458997b-5rdc2   1905m   2302Mi   
1787926259 llm-proxy-7dc458997b-87wf2   4m      457Mi    
1787926259 llm-proxy-7dc458997b-9dwsh   1915m   1507Mi   
1787926259 llm-proxy-7dc458997b-gxd5j   4m      415Mi    
1787926259 llm-proxy-7dc458997b-kvsdk   1912m   1555Mi   
1787926259 llm-proxy-7dc458997b-p2zdm   1915m   1988Mi   
1787926328 llm-proxy-7dc458997b-5rdc2   1917m   2382Mi   
1787926328 llm-proxy-7dc458997b-87wf2   4m      457Mi    
1787926328 llm-proxy-7dc458997b-9dwsh   1903m   1604Mi   
1787926328 llm-proxy-7dc458997b-gxd5j   4m      415Mi    
1787926328 llm-proxy-7dc458997b-kvsdk   1904m   1618Mi   
1787926328 llm-proxy-7dc458997b-p2zdm   1913m   1930Mi   
1787926395 llm-proxy-7dc458997b-5rdc2   1869m   2381Mi   
1787926395 llm-proxy-7dc458997b-87wf2   4m      457Mi    
1787926395 llm-proxy-7dc458997b-9dwsh   1721m   1838Mi   
1787926395 llm-proxy-7dc458997b-gxd5j   4m      415Mi    
1787926395 llm-proxy-7dc458997b-kvsdk   1836m   1707Mi   
