1787997179 llm-proxy-7dc458997b-gmrtv   1666m   629Mi   
1787997249 llm-proxy-7dc458997b-9vk9r   1897m   319Mi   
1787997249 llm-proxy-7dc458997b-gmrtv   1909m   812Mi   
1787997320 llm-proxy-7dc458997b-2bngl   4m      205Mi    
1787997320 llm-proxy-7dc458997b-9vk9r   1884m   685Mi    
1787997320 llm-proxy-7dc458997b-bq5gq   4m      208Mi    
1787997320 llm-proxy-7dc458997b-gmrtv   1822m   1034Mi   
1787997390 llm-proxy-7dc458997b-2bngl   4m      205Mi    
1787997390 llm-proxy-7dc458997b-9vk9r   1892m   1097Mi   
1787997390 llm-proxy-7dc458997b-bq5gq   4m      208Mi    
1787997390 llm-proxy-7dc458997b-gmrtv   1913m   1127Mi   
1787997460 llm-proxy-7dc458997b-2bngl   4m      205Mi    
1787997460 llm-proxy-7dc458997b-9vk9r   1906m   1192Mi   
1787997460 llm-proxy-7dc458997b-bq5gq   4m      208Mi    
1787997460 llm-proxy-7dc458997b-gmrtv   1911m   1207Mi   
1787997530 llm-proxy-7dc458997b-2bngl   4m      205Mi    
1787997530 llm-proxy-7dc458997b-9vk9r   1918m   1349Mi   
1787997530 llm-proxy-7dc458997b-bq5gq   4m      208Mi    
1787997530 llm-proxy-7dc458997b-gmrtv   1909m   1286Mi   
1787997601 llm-proxy-7dc458997b-2bngl   1937m   554Mi    
1787997601 llm-proxy-7dc458997b-9vk9r   1914m   1370Mi   
1787997601 llm-proxy-7dc458997b-bq5gq   1906m   645Mi    
1787997601 llm-proxy-7dc458997b-gmrtv   1912m   1367Mi   
1787997673 llm-proxy-7dc458997b-2bngl   1782m   757Mi    
1787997673 llm-proxy-7dc458997b-5wfqc   4m      205Mi    
1787997673 llm-proxy-7dc458997b-9vk9r   1883m   1533Mi   
1787997673 llm-proxy-7dc458997b-bq5gq   1850m   873Mi    
1787997673 llm-proxy-7dc458997b-g8lb4   4m      205Mi    
1787997673 llm-proxy-7dc458997b-gmrtv   1792m   1367Mi   
1787997743 llm-proxy-7dc458997b-2bngl   1851m   924Mi    
1787997743 llm-proxy-7dc458997b-5wfqc   3m      205Mi    
1787997743 llm-proxy-7dc458997b-9vk9r   1881m   1663Mi   
1787997743 llm-proxy-7dc458997b-bq5gq   1864m   906Mi    
1787997743 llm-proxy-7dc458997b-g8lb4   4m      205Mi    
1787997743 llm-proxy-7dc458997b-gmrtv   1843m   1405Mi   
1787997813 llm-proxy-7dc458997b-2bngl   1902m   1150Mi   
1787997813 llm-proxy-7dc458997b-5wfqc   3m      205Mi    
1787997813 llm-proxy-7dc458997b-9vk9r   1909m   1826Mi   
1787997813 llm-proxy-7dc458997b-bq5gq   1912m   1141Mi   
1787997813 llm-proxy-7dc458997b-g8lb4   4m      205Mi    
1787997813 llm-proxy-7dc458997b-gmrtv   1828m   1465Mi   
1787997883 llm-proxy-7dc458997b-2bngl   1909m   1174Mi   
1787997883 llm-proxy-7dc458997b-5wfqc   4m      205Mi    
1787997883 llm-proxy-7dc458997b-9vk9r   1910m   1908Mi   
1787997883 llm-proxy-7dc458997b-bq5gq   1923m   1242Mi   
1787997883 llm-proxy-7dc458997b-g8lb4   4m      205Mi    
1787997883 llm-proxy-7dc458997b-gmrtv   1898m   1530Mi   
1787997953 llm-proxy-7dc458997b-2bngl   1918m   1177Mi   
1787997953 llm-proxy-7dc458997b-5wfqc   3m      205Mi    
1787997953 llm-proxy-7dc458997b-9vk9r   1883m   1908Mi   
1787997953 llm-proxy-7dc458997b-bq5gq   1907m   1281Mi   
1787997953 llm-proxy-7dc458997b-g8lb4   4m      205Mi    
1787997953 llm-proxy-7dc458997b-gmrtv   1893m   1714Mi   
1787998024 llm-proxy-7dc458997b-2bngl   1913m   1341Mi   
1787998024 llm-proxy-7dc458997b-5wfqc   4m      205Mi    
1787998024 llm-proxy-7dc458997b-9vk9r   1908m   1954Mi   
1787998024 llm-proxy-7dc458997b-bq5gq   1914m   1518Mi   
1787998024 llm-proxy-7dc458997b-g8lb4   4m      205Mi    
1787998024 llm-proxy-7dc458997b-gmrtv   1889m   1994Mi   
1787998093 llm-proxy-7dc458997b-2bngl   1815m   1440Mi   
1787998093 llm-proxy-7dc458997b-5wfqc   3m      205Mi    
1787998093 llm-proxy-7dc458997b-9vk9r   1869m   2039Mi   
1787998093 llm-proxy-7dc458997b-bq5gq   1877m   1795Mi   
1787998093 llm-proxy-7dc458997b-g8lb4   4m      205Mi    
1787998093 llm-proxy-7dc458997b-gmrtv   1814m   2054Mi   
