47m     Normal    Starting                       node/ip-172-31-20-253.us-west-2.compute.internal   
45m     Normal    Starting                       node/ip-172-31-44-64.us-west-2.compute.internal    
47m     Normal    Starting                       node/ip-172-31-47-148.us-west-2.compute.internal   
45m     Normal    Starting                       node/ip-172-31-19-137.us-west-2.compute.internal   
46m     Normal    Starting                       node/ip-172-31-40-187.us-west-2.compute.internal   
48m     Normal    Starting                       node/ip-172-31-28-200.us-west-2.compute.internal   
51m     Normal    Starting                       node/ip-172-31-27-30.us-west-2.compute.internal    
51m     Warning   InvalidDiskCapacity            node/ip-172-31-27-30.us-west-2.compute.internal    invalid capacity 0 on image filesystem
51m     Normal    Starting                       node/ip-172-31-27-30.us-west-2.compute.internal    Starting kubelet.
51m     Normal    NodeHasSufficientMemory        node/ip-172-31-27-30.us-west-2.compute.internal    Node ip-172-31-27-30.us-west-2.compute.internal status is now: NodeHasSufficientMemory
51m     Normal    NodeHasNoDiskPressure          node/ip-172-31-27-30.us-west-2.compute.internal    Node ip-172-31-27-30.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
51m     Normal    NodeHasSufficientPID           node/ip-172-31-27-30.us-west-2.compute.internal    Node ip-172-31-27-30.us-west-2.compute.internal status is now: NodeHasSufficientPID
51m     Normal    NodeAllocatableEnforced        node/ip-172-31-27-30.us-west-2.compute.internal    Updated Node Allocatable limit across pods
51m     Normal    NodeHasNoDiskPressure          node/ip-172-31-27-30.us-west-2.compute.internal    Node ip-172-31-27-30.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
51m     Normal    NodeHasSufficientPID           node/ip-172-31-27-30.us-west-2.compute.internal    Node ip-172-31-27-30.us-west-2.compute.internal status is now: NodeHasSufficientPID
51m     Normal    NodeHasSufficientMemory        node/ip-172-31-27-30.us-west-2.compute.internal    Node ip-172-31-27-30.us-west-2.compute.internal status is now: NodeHasSufficientMemory
51m     Normal    NodeAllocatableEnforced        node/ip-172-31-27-30.us-west-2.compute.internal    Updated Node Allocatable limit across pods
51m     Normal    Starting                       node/ip-172-31-27-30.us-west-2.compute.internal    Starting kubelet.
51m     Warning   InvalidDiskCapacity            node/ip-172-31-27-30.us-west-2.compute.internal    invalid capacity 0 on image filesystem
51m     Normal    RegisteredNode                 node/ip-172-31-27-30.us-west-2.compute.internal    Node ip-172-31-27-30.us-west-2.compute.internal event: Registered Node ip-172-31-27-30.us-west-2.compute.internal in Controller
50m     Normal    NodeReady                      node/ip-172-31-27-30.us-west-2.compute.internal    Node ip-172-31-27-30.us-west-2.compute.internal status is now: NodeReady
48m     Warning   InvalidDiskCapacity            node/ip-172-31-28-200.us-west-2.compute.internal   invalid capacity 0 on image filesystem
48m     Normal    NodeHasSufficientMemory        node/ip-172-31-28-200.us-west-2.compute.internal   Node ip-172-31-28-200.us-west-2.compute.internal status is now: NodeHasSufficientMemory
48m     Normal    NodeAllocatableEnforced        node/ip-172-31-28-200.us-west-2.compute.internal   Updated Node Allocatable limit across pods
48m     Normal    NodeHasSufficientPID           node/ip-172-31-28-200.us-west-2.compute.internal   Node ip-172-31-28-200.us-west-2.compute.internal status is now: NodeHasSufficientPID
48m     Normal    NodeHasNoDiskPressure          node/ip-172-31-28-200.us-west-2.compute.internal   Node ip-172-31-28-200.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
48m     Normal    RegisteredNode                 node/ip-172-31-28-200.us-west-2.compute.internal   Node ip-172-31-28-200.us-west-2.compute.internal event: Registered Node ip-172-31-28-200.us-west-2.compute.internal in Controller
48m     Normal    NodeReady                      node/ip-172-31-28-200.us-west-2.compute.internal   Node ip-172-31-28-200.us-west-2.compute.internal status is now: NodeReady
47m     Normal    Starting                       node/ip-172-31-47-148.us-west-2.compute.internal   Starting kubelet.
47m     Warning   InvalidDiskCapacity            node/ip-172-31-47-148.us-west-2.compute.internal   invalid capacity 0 on image filesystem
47m     Normal    NodeAllocatableEnforced        node/ip-172-31-47-148.us-west-2.compute.internal   Updated Node Allocatable limit across pods
47m     Normal    NodeHasNoDiskPressure          node/ip-172-31-47-148.us-west-2.compute.internal   Node ip-172-31-47-148.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
47m     Normal    NodeHasSufficientMemory        node/ip-172-31-47-148.us-west-2.compute.internal   Node ip-172-31-47-148.us-west-2.compute.internal status is now: NodeHasSufficientMemory
47m     Normal    NodeHasSufficientPID           node/ip-172-31-47-148.us-west-2.compute.internal   Node ip-172-31-47-148.us-west-2.compute.internal status is now: NodeHasSufficientPID
47m     Normal    RegisteredNode                 node/ip-172-31-47-148.us-west-2.compute.internal   Node ip-172-31-47-148.us-west-2.compute.internal event: Registered Node ip-172-31-47-148.us-west-2.compute.internal in Controller
47m     Normal    NodeReady                      node/ip-172-31-47-148.us-west-2.compute.internal   Node ip-172-31-47-148.us-west-2.compute.internal status is now: NodeReady
47m     Normal    NodeHasSufficientMemory        node/ip-172-31-20-253.us-west-2.compute.internal   Node ip-172-31-20-253.us-west-2.compute.internal status is now: NodeHasSufficientMemory
47m     Normal    NodeHasNoDiskPressure          node/ip-172-31-20-253.us-west-2.compute.internal   Node ip-172-31-20-253.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
47m     Normal    NodeHasSufficientPID           node/ip-172-31-20-253.us-west-2.compute.internal   Node ip-172-31-20-253.us-west-2.compute.internal status is now: NodeHasSufficientPID
47m     Normal    NodeAllocatableEnforced        node/ip-172-31-20-253.us-west-2.compute.internal   Updated Node Allocatable limit across pods
47m     Warning   InvalidDiskCapacity            node/ip-172-31-20-253.us-west-2.compute.internal   invalid capacity 0 on image filesystem
47m     Normal    RegisteredNode                 node/ip-172-31-20-253.us-west-2.compute.internal   Node ip-172-31-20-253.us-west-2.compute.internal event: Registered Node ip-172-31-20-253.us-west-2.compute.internal in Controller
47m     Normal    NodeReady                      node/ip-172-31-20-253.us-west-2.compute.internal   Node ip-172-31-20-253.us-west-2.compute.internal status is now: NodeReady
46m     Normal    NodeHasNoDiskPressure          node/ip-172-31-40-187.us-west-2.compute.internal   Node ip-172-31-40-187.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
46m     Warning   InvalidDiskCapacity            node/ip-172-31-40-187.us-west-2.compute.internal   invalid capacity 0 on image filesystem
46m     Normal    NodeHasSufficientMemory        node/ip-172-31-40-187.us-west-2.compute.internal   Node ip-172-31-40-187.us-west-2.compute.internal status is now: NodeHasSufficientMemory
46m     Normal    NodeHasSufficientPID           node/ip-172-31-40-187.us-west-2.compute.internal   Node ip-172-31-40-187.us-west-2.compute.internal status is now: NodeHasSufficientPID
46m     Normal    NodeAllocatableEnforced        node/ip-172-31-40-187.us-west-2.compute.internal   Updated Node Allocatable limit across pods
46m     Normal    RegisteredNode                 node/ip-172-31-40-187.us-west-2.compute.internal   Node ip-172-31-40-187.us-west-2.compute.internal event: Registered Node ip-172-31-40-187.us-west-2.compute.internal in Controller
46m     Normal    NodeReady                      node/ip-172-31-40-187.us-west-2.compute.internal   Node ip-172-31-40-187.us-west-2.compute.internal status is now: NodeReady
45m     Warning   InvalidDiskCapacity            node/ip-172-31-19-137.us-west-2.compute.internal   invalid capacity 0 on image filesystem
45m     Normal    NodeAllocatableEnforced        node/ip-172-31-19-137.us-west-2.compute.internal   Updated Node Allocatable limit across pods
45m     Normal    NodeHasSufficientPID           node/ip-172-31-19-137.us-west-2.compute.internal   Node ip-172-31-19-137.us-west-2.compute.internal status is now: NodeHasSufficientPID
45m     Normal    NodeHasSufficientMemory        node/ip-172-31-19-137.us-west-2.compute.internal   Node ip-172-31-19-137.us-west-2.compute.internal status is now: NodeHasSufficientMemory
45m     Normal    NodeHasNoDiskPressure          node/ip-172-31-19-137.us-west-2.compute.internal   Node ip-172-31-19-137.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
45m     Normal    RegisteredNode                 node/ip-172-31-19-137.us-west-2.compute.internal   Node ip-172-31-19-137.us-west-2.compute.internal event: Registered Node ip-172-31-19-137.us-west-2.compute.internal in Controller
45m     Normal    NodeReady                      node/ip-172-31-19-137.us-west-2.compute.internal   Node ip-172-31-19-137.us-west-2.compute.internal status is now: NodeReady
45m     Normal    NodeAllocatableEnforced        node/ip-172-31-44-64.us-west-2.compute.internal    Updated Node Allocatable limit across pods
45m     Normal    NodeHasSufficientMemory        node/ip-172-31-44-64.us-west-2.compute.internal    Node ip-172-31-44-64.us-west-2.compute.internal status is now: NodeHasSufficientMemory
45m     Normal    CIDRAssignmentFailed           node/ip-172-31-44-64.us-west-2.compute.internal    Node ip-172-31-44-64.us-west-2.compute.internal status is now: CIDRAssignmentFailed
45m     Normal    NodeHasSufficientPID           node/ip-172-31-44-64.us-west-2.compute.internal    Node ip-172-31-44-64.us-west-2.compute.internal status is now: NodeHasSufficientPID
45m     Normal    NodeHasNoDiskPressure          node/ip-172-31-44-64.us-west-2.compute.internal    Node ip-172-31-44-64.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
