1788021556 llm-proxy-7dc458997b-l47dw   1725m   428Mi   
1788021625 llm-proxy-7dc458997b-htlps   152m    4Mi     
1788021625 llm-proxy-7dc458997b-kgztp   1900m   664Mi   
1788021625 llm-proxy-7dc458997b-l47dw   1907m   633Mi   
1788021693 llm-proxy-7dc458997b-6p4lk   4m      205Mi   
1788021693 llm-proxy-7dc458997b-htlps   4m      209Mi   
1788021693 llm-proxy-7dc458997b-kgztp   1910m   972Mi   
1788021693 llm-proxy-7dc458997b-l47dw   1928m   922Mi   
1788021762 llm-proxy-7dc458997b-6p4lk   4m      205Mi    
1788021762 llm-proxy-7dc458997b-htlps   3m      209Mi    
1788021762 llm-proxy-7dc458997b-kgztp   1906m   968Mi    
1788021762 llm-proxy-7dc458997b-l47dw   1926m   1026Mi   
1788021831 llm-proxy-7dc458997b-6p4lk   4m      205Mi    
1788021831 llm-proxy-7dc458997b-htlps   4m      209Mi    
1788021831 llm-proxy-7dc458997b-kgztp   1909m   1025Mi   
1788021831 llm-proxy-7dc458997b-l47dw   1912m   1273Mi   
