1787947394 llm-proxy-7dc458997b-8pk5f   1767m   488Mi   
1787947464 llm-proxy-7dc458997b-8pk5f   1919m   586Mi   
1787947534 llm-proxy-7dc458997b-8pk5f   1908m   1029Mi   
1787947534 llm-proxy-7dc458997b-mg7hk   4m      208Mi    
1787947603 llm-proxy-7dc458997b-8pk5f   1912m   1038Mi   
1787947603 llm-proxy-7dc458997b-mg7hk   3m      209Mi    
1787947673 llm-proxy-7dc458997b-8pk5f   1914m   1119Mi   
1787947673 llm-proxy-7dc458997b-mg7hk   4m      209Mi    
1787947743 llm-proxy-7dc458997b-8pk5f   1911m   1360Mi   
1787947743 llm-proxy-7dc458997b-mg7hk   4m      209Mi    
1787947813 llm-proxy-7dc458997b-8pk5f   1878m   1450Mi   
1787947813 llm-proxy-7dc458997b-mg7hk   1938m   501Mi    
1787947883 llm-proxy-7dc458997b-8pk5f   1911m   1557Mi   
1787947883 llm-proxy-7dc458997b-9vbfk   64m     205Mi    
1787947883 llm-proxy-7dc458997b-ltlhz   4m      205Mi    
1787947883 llm-proxy-7dc458997b-mg7hk   1915m   820Mi    
1787947954 llm-proxy-7dc458997b-8pk5f   1905m   1735Mi   
1787947954 llm-proxy-7dc458997b-9vbfk   4m      205Mi    
1787947954 llm-proxy-7dc458997b-ltlhz   4m      205Mi    
1787947954 llm-proxy-7dc458997b-mg7hk   1915m   985Mi    
1787948024 llm-proxy-7dc458997b-8pk5f   1917m   1710Mi   
1787948024 llm-proxy-7dc458997b-9vbfk   4m      205Mi    
1787948024 llm-proxy-7dc458997b-ltlhz   4m      205Mi    
1787948024 llm-proxy-7dc458997b-mg7hk   1915m   1239Mi   
1787948094 llm-proxy-7dc458997b-8pk5f   1911m   1711Mi   
1787948094 llm-proxy-7dc458997b-9vbfk   4m      205Mi    
1787948094 llm-proxy-7dc458997b-ltlhz   4m      205Mi    
1787948094 llm-proxy-7dc458997b-mg7hk   1920m   1381Mi   
1787948164 llm-proxy-7dc458997b-8pk5f   1899m   1711Mi   
1787948164 llm-proxy-7dc458997b-9vbfk   4m      205Mi    
1787948164 llm-proxy-7dc458997b-ltlhz   4m      205Mi    
1787948164 llm-proxy-7dc458997b-mg7hk   1913m   1502Mi   
1787948234 llm-proxy-7dc458997b-8pk5f   1918m   1711Mi   
1787948234 llm-proxy-7dc458997b-9vbfk   4m      205Mi    
1787948234 llm-proxy-7dc458997b-ltlhz   4m      205Mi    
1787948234 llm-proxy-7dc458997b-mg7hk   1911m   1504Mi   
1787948304 llm-proxy-7dc458997b-8pk5f   1907m   1651Mi   
1787948304 llm-proxy-7dc458997b-9vbfk   5m      205Mi    
1787948304 llm-proxy-7dc458997b-ltlhz   4m      205Mi    
1787948304 llm-proxy-7dc458997b-mg7hk   1924m   1504Mi   
1787948374 llm-proxy-7dc458997b-8pk5f   1903m   1719Mi   
1787948374 llm-proxy-7dc458997b-9vbfk   4m      205Mi    
1787948374 llm-proxy-7dc458997b-ltlhz   4m      205Mi    
1787948374 llm-proxy-7dc458997b-mg7hk   1914m   1655Mi   
1787948444 llm-proxy-7dc458997b-8pk5f   1917m   1719Mi   
1787948444 llm-proxy-7dc458997b-9vbfk   4m      205Mi    
1787948444 llm-proxy-7dc458997b-ltlhz   4m      205Mi    
1787948444 llm-proxy-7dc458997b-mg7hk   1913m   1893Mi   
1787948515 llm-proxy-7dc458997b-8pk5f   1908m   1815Mi   
1787948515 llm-proxy-7dc458997b-9vbfk   4m      205Mi    
1787948515 llm-proxy-7dc458997b-ltlhz   4m      205Mi    
1787948515 llm-proxy-7dc458997b-mg7hk   1922m   2089Mi   
1787948585 llm-proxy-7dc458997b-8pk5f   1886m   2036Mi   
1787948585 llm-proxy-7dc458997b-9vbfk   4m      205Mi    
1787948585 llm-proxy-7dc458997b-ltlhz   4m      205Mi    
1787948585 llm-proxy-7dc458997b-mg7hk   1892m   2270Mi   
1787948655 llm-proxy-7dc458997b-8pk5f   1906m   2101Mi   
1787948655 llm-proxy-7dc458997b-9vbfk   4m      205Mi    
1787948655 llm-proxy-7dc458997b-ltlhz   4m      205Mi    
1787948655 llm-proxy-7dc458997b-mg7hk   1912m   2275Mi   
1787948725 llm-proxy-7dc458997b-8pk5f   1909m   2182Mi   
1787948725 llm-proxy-7dc458997b-9vbfk   4m      205Mi    
1787948725 llm-proxy-7dc458997b-ltlhz   4m      205Mi    
1787948725 llm-proxy-7dc458997b-mg7hk   1915m   2278Mi   
1787948795 llm-proxy-7dc458997b-8pk5f   1918m   2181Mi   
1787948795 llm-proxy-7dc458997b-9vbfk   5m      205Mi    
