47m     Normal    Starting                       node/ip-172-31-17-210.us-west-2.compute.internal   
43m     Normal    Starting                       node/ip-172-31-18-41.us-west-2.compute.internal    
45m     Normal    Starting                       node/ip-172-31-19-34.us-west-2.compute.internal    
42m     Normal    Starting                       node/ip-172-31-27-25.us-west-2.compute.internal    
43m     Normal    Starting                       node/ip-172-31-42-187.us-west-2.compute.internal   
41m     Normal    Starting                       node/ip-172-31-47-61.us-west-2.compute.internal    
44m     Normal    Starting                       node/ip-172-31-42-3.us-west-2.compute.internal     
48m     Normal    NodeHasNoDiskPressure          node/ip-172-31-17-210.us-west-2.compute.internal   Node ip-172-31-17-210.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
48m     Normal    NodeHasSufficientPID           node/ip-172-31-17-210.us-west-2.compute.internal   Node ip-172-31-17-210.us-west-2.compute.internal status is now: NodeHasSufficientPID
48m     Normal    NodeAllocatableEnforced        node/ip-172-31-17-210.us-west-2.compute.internal   Updated Node Allocatable limit across pods
48m     Normal    NodeHasSufficientMemory        node/ip-172-31-17-210.us-west-2.compute.internal   Node ip-172-31-17-210.us-west-2.compute.internal status is now: NodeHasSufficientMemory
47m     Normal    NodeHasNoDiskPressure          node/ip-172-31-17-210.us-west-2.compute.internal   Node ip-172-31-17-210.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
47m     Normal    NodeHasSufficientPID           node/ip-172-31-17-210.us-west-2.compute.internal   Node ip-172-31-17-210.us-west-2.compute.internal status is now: NodeHasSufficientPID
47m     Normal    NodeHasSufficientMemory        node/ip-172-31-17-210.us-west-2.compute.internal   Node ip-172-31-17-210.us-west-2.compute.internal status is now: NodeHasSufficientMemory
47m     Normal    NodeAllocatableEnforced        node/ip-172-31-17-210.us-west-2.compute.internal   Updated Node Allocatable limit across pods
47m     Warning   InvalidDiskCapacity            node/ip-172-31-17-210.us-west-2.compute.internal   invalid capacity 0 on image filesystem
47m     Normal    Starting                       node/ip-172-31-17-210.us-west-2.compute.internal   Starting kubelet.
47m     Normal    RegisteredNode                 node/ip-172-31-17-210.us-west-2.compute.internal   Node ip-172-31-17-210.us-west-2.compute.internal event: Registered Node ip-172-31-17-210.us-west-2.compute.internal in Controller
47m     Normal    NodeReady                      node/ip-172-31-17-210.us-west-2.compute.internal   Node ip-172-31-17-210.us-west-2.compute.internal status is now: NodeReady
45m     Normal    NodeAllocatableEnforced        node/ip-172-31-19-34.us-west-2.compute.internal    Updated Node Allocatable limit across pods
45m     Normal    NodeHasNoDiskPressure          node/ip-172-31-19-34.us-west-2.compute.internal    Node ip-172-31-19-34.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
45m     Normal    NodeHasSufficientPID           node/ip-172-31-19-34.us-west-2.compute.internal    Node ip-172-31-19-34.us-west-2.compute.internal status is now: NodeHasSufficientPID
