1788023973 llm-proxy-7dc458997b-hz589   1953m   480Mi   
1788024041 llm-proxy-7dc458997b-gcrq4   1915m   458Mi   
1788024041 llm-proxy-7dc458997b-hz589   1913m   775Mi   
1788024110 llm-proxy-7dc458997b-gcrq4   1899m   845Mi   
1788024110 llm-proxy-7dc458997b-hz589   1918m   973Mi   
1788024110 llm-proxy-7dc458997b-m6dj4   4m      208Mi   
1788024110 llm-proxy-7dc458997b-vfzt4   4m      205Mi   
1788024178 llm-proxy-7dc458997b-gcrq4   1913m   1084Mi   
1788024178 llm-proxy-7dc458997b-hz589   1915m   1229Mi   
1788024178 llm-proxy-7dc458997b-m6dj4   4m      209Mi    
1788024178 llm-proxy-7dc458997b-vfzt4   4m      205Mi    
1788024246 llm-proxy-7dc458997b-gcrq4   1900m   1095Mi   
1788024246 llm-proxy-7dc458997b-hz589   1909m   1275Mi   
1788024246 llm-proxy-7dc458997b-m6dj4   4m      209Mi    
1788024246 llm-proxy-7dc458997b-vfzt4   4m      205Mi    
1788024314 llm-proxy-7dc458997b-gcrq4   1903m   1320Mi   
1788024314 llm-proxy-7dc458997b-hz589   1915m   1437Mi   
1788024314 llm-proxy-7dc458997b-m6dj4   4m      209Mi    
1788024314 llm-proxy-7dc458997b-vfzt4   4m      205Mi    
