37m     Normal    Starting                       node/ip-172-31-28-201.us-west-2.compute.internal   
34m     Normal    Starting                       node/ip-172-31-30-49.us-west-2.compute.internal    
34m     Normal    Starting                       node/ip-172-31-38-45.us-west-2.compute.internal    
37m     Normal    Starting                       node/ip-172-31-28-201.us-west-2.compute.internal   Starting kubelet.
37m     Normal    NodeAllocatableEnforced        node/ip-172-31-28-201.us-west-2.compute.internal   Updated Node Allocatable limit across pods
37m     Normal    NodeHasSufficientMemory        node/ip-172-31-28-201.us-west-2.compute.internal   Node ip-172-31-28-201.us-west-2.compute.internal status is now: NodeHasSufficientMemory
37m     Normal    NodeHasNoDiskPressure          node/ip-172-31-28-201.us-west-2.compute.internal   Node ip-172-31-28-201.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
37m     Normal    NodeHasSufficientPID           node/ip-172-31-28-201.us-west-2.compute.internal   Node ip-172-31-28-201.us-west-2.compute.internal status is now: NodeHasSufficientPID
37m     Normal    RegisteredNode                 node/ip-172-31-28-201.us-west-2.compute.internal   Node ip-172-31-28-201.us-west-2.compute.internal event: Registered Node ip-172-31-28-201.us-west-2.compute.internal in Controller
37m     Normal    NodeReady                      node/ip-172-31-28-201.us-west-2.compute.internal   Node ip-172-31-28-201.us-west-2.compute.internal status is now: NodeReady
35m     Warning   InvalidDiskCapacity            node/ip-172-31-30-49.us-west-2.compute.internal    invalid capacity 0 on image filesystem
35m     Normal    NodeAllocatableEnforced        node/ip-172-31-30-49.us-west-2.compute.internal    Updated Node Allocatable limit across pods
34m     Normal    NodeHasSufficientMemory        node/ip-172-31-30-49.us-west-2.compute.internal    Node ip-172-31-30-49.us-west-2.compute.internal status is now: NodeHasSufficientMemory
34m     Normal    NodeHasNoDiskPressure          node/ip-172-31-30-49.us-west-2.compute.internal    Node ip-172-31-30-49.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
34m     Normal    NodeHasSufficientPID           node/ip-172-31-30-49.us-west-2.compute.internal    Node ip-172-31-30-49.us-west-2.compute.internal status is now: NodeHasSufficientPID
34m     Normal    RegisteredNode                 node/ip-172-31-30-49.us-west-2.compute.internal    Node ip-172-31-30-49.us-west-2.compute.internal event: Registered Node ip-172-31-30-49.us-west-2.compute.internal in Controller
34m     Normal    NodeReady                      node/ip-172-31-30-49.us-west-2.compute.internal    Node ip-172-31-30-49.us-west-2.compute.internal status is now: NodeReady
34m     Warning   InvalidDiskCapacity            node/ip-172-31-38-45.us-west-2.compute.internal    invalid capacity 0 on image filesystem
34m     Normal    NodeHasSufficientMemory        node/ip-172-31-38-45.us-west-2.compute.internal    Node ip-172-31-38-45.us-west-2.compute.internal status is now: NodeHasSufficientMemory
34m     Normal    NodeHasNoDiskPressure          node/ip-172-31-38-45.us-west-2.compute.internal    Node ip-172-31-38-45.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
34m     Normal    NodeHasSufficientPID           node/ip-172-31-38-45.us-west-2.compute.internal    Node ip-172-31-38-45.us-west-2.compute.internal status is now: NodeHasSufficientPID
34m     Normal    NodeAllocatableEnforced        node/ip-172-31-38-45.us-west-2.compute.internal    Updated Node Allocatable limit across pods
34m     Normal    RegisteredNode                 node/ip-172-31-38-45.us-west-2.compute.internal    Node ip-172-31-38-45.us-west-2.compute.internal event: Registered Node ip-172-31-38-45.us-west-2.compute.internal in Controller
34m     Normal    NodeReady                      node/ip-172-31-38-45.us-west-2.compute.internal    Node ip-172-31-38-45.us-west-2.compute.internal status is now: NodeReady
