1787956971 llm-proxy-7dc458997b-5m98z   1834m   451Mi   
1787957043 llm-proxy-7dc458997b-5m98z   1901m   770Mi   
1787957043 llm-proxy-7dc458997b-ppzrl   1919m   456Mi   
1787957114 llm-proxy-7dc458997b-5m98z   1881m   1087Mi   
1787957114 llm-proxy-7dc458997b-ppzrl   1926m   676Mi    
1787957114 llm-proxy-7dc458997b-sspc6   94m     256Mi    
1787957114 llm-proxy-7dc458997b-wjrh7   274m    244Mi    
1787957185 llm-proxy-7dc458997b-5m98z   1792m   1121Mi   
1787957185 llm-proxy-7dc458997b-ppzrl   1791m   836Mi    
1787957185 llm-proxy-7dc458997b-sspc6   5m      256Mi    
1787957185 llm-proxy-7dc458997b-wjrh7   4m      244Mi    
1787957254 llm-proxy-7dc458997b-5m98z   1912m   1241Mi   
1787957254 llm-proxy-7dc458997b-ppzrl   1909m   977Mi    
1787957254 llm-proxy-7dc458997b-sspc6   4m      256Mi    
1787957254 llm-proxy-7dc458997b-wjrh7   4m      244Mi    
1787957323 llm-proxy-7dc458997b-5m98z   1910m   1297Mi   
1787957323 llm-proxy-7dc458997b-ppzrl   1919m   938Mi    
1787957323 llm-proxy-7dc458997b-sspc6   4m      256Mi    
1787957323 llm-proxy-7dc458997b-wjrh7   5m      244Mi    
1787957394 llm-proxy-7dc458997b-5m98z   1915m   1581Mi   
1787957394 llm-proxy-7dc458997b-ppzrl   1940m   1056Mi   
1787957394 llm-proxy-7dc458997b-sspc6   1890m   484Mi    
1787957394 llm-proxy-7dc458997b-wjrh7   1903m   576Mi    
1787957465 llm-proxy-7dc458997b-5m98z   1868m   1639Mi   
1787957465 llm-proxy-7dc458997b-5rjdx   4m      245Mi    
1787957465 llm-proxy-7dc458997b-hmnnv   4m      205Mi    
1787957465 llm-proxy-7dc458997b-ppzrl   1924m   1115Mi   
1787957465 llm-proxy-7dc458997b-sspc6   1870m   806Mi    
1787957465 llm-proxy-7dc458997b-wjrh7   1894m   954Mi    
1787957535 llm-proxy-7dc458997b-5m98z   1747m   1678Mi   
1787957535 llm-proxy-7dc458997b-5rjdx   4m      245Mi    
1787957535 llm-proxy-7dc458997b-hmnnv   5m      205Mi    
1787957535 llm-proxy-7dc458997b-ppzrl   1787m   1214Mi   
1787957535 llm-proxy-7dc458997b-sspc6   1523m   979Mi    
1787957535 llm-proxy-7dc458997b-wjrh7   1525m   1009Mi   
1787957606 llm-proxy-7dc458997b-5m98z   1818m   1772Mi   
1787957606 llm-proxy-7dc458997b-5rjdx   4m      245Mi    
1787957606 llm-proxy-7dc458997b-hmnnv   5m      205Mi    
1787957606 llm-proxy-7dc458997b-ppzrl   1839m   1214Mi   
1787957606 llm-proxy-7dc458997b-sspc6   1752m   1018Mi   
1787957606 llm-proxy-7dc458997b-wjrh7   1609m   1269Mi   
1787957676 llm-proxy-7dc458997b-5m98z   1902m   1775Mi   
1787957676 llm-proxy-7dc458997b-5rjdx   4m      245Mi    
1787957676 llm-proxy-7dc458997b-hmnnv   4m      205Mi    
1787957676 llm-proxy-7dc458997b-ppzrl   1899m   1350Mi   
1787957676 llm-proxy-7dc458997b-sspc6   1872m   1180Mi   
1787957676 llm-proxy-7dc458997b-wjrh7   1899m   1287Mi   
1787957746 llm-proxy-7dc458997b-5m98z   1907m   1892Mi   
1787957746 llm-proxy-7dc458997b-5rjdx   4m      245Mi    
1787957746 llm-proxy-7dc458997b-hmnnv   3m      205Mi    
1787957746 llm-proxy-7dc458997b-ppzrl   1917m   1350Mi   
1787957746 llm-proxy-7dc458997b-sspc6   1864m   1179Mi   
1787957746 llm-proxy-7dc458997b-wjrh7   1872m   1365Mi   
1787957826 llm-proxy-7dc458997b-5m98z   1895m   2086Mi   
1787957826 llm-proxy-7dc458997b-5rjdx   3m      245Mi    
