1787959325 llm-proxy-7dc458997b-ctwm4   279m   204Mi   
1787959394 llm-proxy-7dc458997b-ctwm4   1871m   339Mi   
1787959464 llm-proxy-7dc458997b-ctwm4   1723m   858Mi   
1787959464 llm-proxy-7dc458997b-md9lt   1486m   302Mi   
1787959535 llm-proxy-7dc458997b-ctwm4   1917m   1034Mi   
1787959535 llm-proxy-7dc458997b-md9lt   1678m   738Mi    
1787959535 llm-proxy-7dc458997b-qf7tn   4m      205Mi    
1787959605 llm-proxy-7dc458997b-ctwm4   1904m   1073Mi   
1787959605 llm-proxy-7dc458997b-j8s4w   5m      205Mi    
1787959605 llm-proxy-7dc458997b-md9lt   1854m   967Mi    
1787959605 llm-proxy-7dc458997b-qf7tn   4m      205Mi    
1787959675 llm-proxy-7dc458997b-ctwm4   1914m   1206Mi   
1787959675 llm-proxy-7dc458997b-j8s4w   4m      205Mi    
1787959675 llm-proxy-7dc458997b-md9lt   1888m   1165Mi   
1787959675 llm-proxy-7dc458997b-qf7tn   4m      205Mi    
1787959745 llm-proxy-7dc458997b-ctwm4   1861m   1267Mi   
1787959745 llm-proxy-7dc458997b-j8s4w   4m      205Mi    
1787959745 llm-proxy-7dc458997b-md9lt   1892m   1268Mi   
1787959745 llm-proxy-7dc458997b-qf7tn   3m      205Mi    
1787959816 llm-proxy-7dc458997b-ctwm4   1545m   1282Mi   
1787959816 llm-proxy-7dc458997b-j8s4w   1454m   515Mi    
1787959816 llm-proxy-7dc458997b-md9lt   1507m   1445Mi   
1787959816 llm-proxy-7dc458997b-qf7tn   1810m   484Mi    
1787959886 llm-proxy-7dc458997b-b92v6   4m      205Mi    
1787959886 llm-proxy-7dc458997b-ctwm4   1814m   1424Mi   
1787959886 llm-proxy-7dc458997b-j8s4w   1638m   645Mi    
1787959886 llm-proxy-7dc458997b-md9lt   1740m   1491Mi   
1787959886 llm-proxy-7dc458997b-qf7tn   1725m   803Mi    
1787959886 llm-proxy-7dc458997b-zrv9p   4m      205Mi    
1787959956 llm-proxy-7dc458997b-b92v6   4m      205Mi    
1787959956 llm-proxy-7dc458997b-ctwm4   1907m   1480Mi   
1787959956 llm-proxy-7dc458997b-j8s4w   1831m   938Mi    
1787959956 llm-proxy-7dc458997b-md9lt   1894m   1613Mi   
1787959956 llm-proxy-7dc458997b-qf7tn   1699m   1001Mi   
1787959956 llm-proxy-7dc458997b-zrv9p   4m      205Mi    
1787960026 llm-proxy-7dc458997b-b92v6   4m      205Mi    
1787960026 llm-proxy-7dc458997b-ctwm4   1916m   1579Mi   
1787960026 llm-proxy-7dc458997b-j8s4w   1893m   1037Mi   
1787960026 llm-proxy-7dc458997b-md9lt   1916m   1644Mi   
1787960026 llm-proxy-7dc458997b-qf7tn   1881m   1211Mi   
1787960026 llm-proxy-7dc458997b-zrv9p   4m      205Mi    
1787960096 llm-proxy-7dc458997b-b92v6   4m      205Mi    
1787960096 llm-proxy-7dc458997b-ctwm4   1913m   1598Mi   
1787960096 llm-proxy-7dc458997b-j8s4w   1826m   1240Mi   
1787960096 llm-proxy-7dc458997b-md9lt   1905m   1847Mi   
1787960096 llm-proxy-7dc458997b-qf7tn   1897m   1144Mi   
1787960096 llm-proxy-7dc458997b-zrv9p   4m      205Mi    
1787960166 llm-proxy-7dc458997b-b92v6   4m      205Mi    
1787960166 llm-proxy-7dc458997b-ctwm4   1915m   1656Mi   
1787960166 llm-proxy-7dc458997b-j8s4w   1872m   1555Mi   
1787960166 llm-proxy-7dc458997b-md9lt   1908m   1946Mi   
1787960166 llm-proxy-7dc458997b-qf7tn   1898m   1284Mi   
1787960166 llm-proxy-7dc458997b-zrv9p   4m      205Mi    
1787960237 llm-proxy-7dc458997b-b92v6   4m      205Mi    
1787960237 llm-proxy-7dc458997b-ctwm4   1864m   1721Mi   
1787960237 llm-proxy-7dc458997b-j8s4w   1729m   1605Mi   
1787960237 llm-proxy-7dc458997b-md9lt   1891m   2119Mi   
1787960237 llm-proxy-7dc458997b-qf7tn   1653m   1259Mi   
