1787961811 llm-proxy-7dc458997b-hwf8r   1456m   477Mi   
1787961882 llm-proxy-7dc458997b-hwf8r   1728m   657Mi   
1787961882 llm-proxy-7dc458997b-zfs44   1903m   445Mi   
1787961952 llm-proxy-7dc458997b-55k8q   4m      209Mi   
1787961952 llm-proxy-7dc458997b-9zcf6   4m      208Mi   
1787961952 llm-proxy-7dc458997b-hwf8r   1776m   738Mi   
1787961952 llm-proxy-7dc458997b-zfs44   1920m   787Mi   
1787962023 llm-proxy-7dc458997b-55k8q   4m      209Mi    
1787962023 llm-proxy-7dc458997b-9zcf6   4m      209Mi    
1787962023 llm-proxy-7dc458997b-hwf8r   1881m   1012Mi   
1787962023 llm-proxy-7dc458997b-zfs44   1917m   841Mi    
1787962093 llm-proxy-7dc458997b-55k8q   4m      209Mi    
1787962093 llm-proxy-7dc458997b-9zcf6   4m      209Mi    
1787962093 llm-proxy-7dc458997b-hwf8r   1793m   1174Mi   
1787962093 llm-proxy-7dc458997b-zfs44   1916m   1190Mi   
1787962164 llm-proxy-7dc458997b-55k8q   5m      209Mi    
1787962164 llm-proxy-7dc458997b-9zcf6   4m      209Mi    
1787962164 llm-proxy-7dc458997b-hwf8r   1657m   1232Mi   
1787962164 llm-proxy-7dc458997b-zfs44   1908m   1325Mi   
1787962236 llm-proxy-7dc458997b-55k8q   1881m   503Mi    
1787962236 llm-proxy-7dc458997b-9zcf6   1871m   597Mi    
1787962236 llm-proxy-7dc458997b-hwf8r   1813m   1293Mi   
1787962236 llm-proxy-7dc458997b-w92kq   73m     3Mi      
1787962236 llm-proxy-7dc458997b-zfs44   1877m   1527Mi   
1787962307 llm-proxy-7dc458997b-55k8q   1907m   833Mi    
1787962307 llm-proxy-7dc458997b-9zcf6   1917m   857Mi    
1787962307 llm-proxy-7dc458997b-hwf8r   1852m   1347Mi   
1787962307 llm-proxy-7dc458997b-w92kq   4m      205Mi    
1787962307 llm-proxy-7dc458997b-wf6pw   4m      205Mi    
1787962307 llm-proxy-7dc458997b-zfs44   1921m   1504Mi   
1787962379 llm-proxy-7dc458997b-55k8q   1897m   935Mi    
1787962379 llm-proxy-7dc458997b-9zcf6   1901m   1010Mi   
1787962379 llm-proxy-7dc458997b-hwf8r   1817m   1487Mi   
1787962379 llm-proxy-7dc458997b-w92kq   4m      205Mi    
1787962379 llm-proxy-7dc458997b-wf6pw   4m      205Mi    
1787962379 llm-proxy-7dc458997b-zfs44   1906m   1690Mi   
1787962450 llm-proxy-7dc458997b-55k8q   1888m   989Mi    
1787962450 llm-proxy-7dc458997b-9zcf6   1906m   1108Mi   
1787962450 llm-proxy-7dc458997b-hwf8r   1899m   1608Mi   
1787962450 llm-proxy-7dc458997b-w92kq   4m      205Mi    
1787962450 llm-proxy-7dc458997b-wf6pw   4m      205Mi    
1787962450 llm-proxy-7dc458997b-zfs44   1917m   1748Mi   
1787962522 llm-proxy-7dc458997b-55k8q   1867m   1110Mi   
1787962522 llm-proxy-7dc458997b-9zcf6   1785m   1347Mi   
1787962522 llm-proxy-7dc458997b-hwf8r   1308m   1666Mi   
1787962522 llm-proxy-7dc458997b-w92kq   4m      205Mi    
