1787964211 llm-proxy-7dc458997b-xcdqc   1654m   493Mi   
1787964281 llm-proxy-7dc458997b-kpwgg   1868m   374Mi   
1787964281 llm-proxy-7dc458997b-xcdqc   1911m   767Mi   
1787964352 llm-proxy-7dc458997b-25t6x   4m      205Mi   
1787964352 llm-proxy-7dc458997b-jrbrc   4m      208Mi   
1787964352 llm-proxy-7dc458997b-kpwgg   1890m   810Mi   
1787964352 llm-proxy-7dc458997b-xcdqc   1904m   993Mi   
1787964423 llm-proxy-7dc458997b-25t6x   5m      205Mi    
1787964423 llm-proxy-7dc458997b-jrbrc   4m      208Mi    
1787964423 llm-proxy-7dc458997b-kpwgg   1841m   1200Mi   
1787964423 llm-proxy-7dc458997b-xcdqc   1874m   1333Mi   
1787964492 llm-proxy-7dc458997b-25t6x   4m      205Mi    
1787964492 llm-proxy-7dc458997b-jrbrc   4m      208Mi    
1787964492 llm-proxy-7dc458997b-kpwgg   1890m   1263Mi   
1787964492 llm-proxy-7dc458997b-xcdqc   1909m   1371Mi   
1787964563 llm-proxy-7dc458997b-25t6x   4m      205Mi    
1787964563 llm-proxy-7dc458997b-jrbrc   5m      208Mi    
1787964563 llm-proxy-7dc458997b-kpwgg   1641m   1416Mi   
1787964563 llm-proxy-7dc458997b-xcdqc   1830m   1609Mi   
1787964633 llm-proxy-7dc458997b-25t6x   1899m   307Mi    
1787964633 llm-proxy-7dc458997b-jrbrc   1808m   545Mi    
1787964633 llm-proxy-7dc458997b-kpwgg   1701m   1630Mi   
1787964633 llm-proxy-7dc458997b-xcdqc   1920m   1691Mi   
1787964633 llm-proxy-7dc458997b-z9mj6   144m    4Mi      
1787964703 llm-proxy-7dc458997b-25t6x   1939m   953Mi    
1787964703 llm-proxy-7dc458997b-jrbrc   1914m   788Mi    
1787964703 llm-proxy-7dc458997b-kpwgg   1876m   1669Mi   
1787964703 llm-proxy-7dc458997b-xcdqc   1907m   1726Mi   
1787964703 llm-proxy-7dc458997b-z2l44   4m      205Mi    
1787964703 llm-proxy-7dc458997b-z9mj6   4m      205Mi    
1787964774 llm-proxy-7dc458997b-25t6x   1865m   981Mi    
1787964774 llm-proxy-7dc458997b-jrbrc   1911m   912Mi    
1787964774 llm-proxy-7dc458997b-kpwgg   1893m   1708Mi   
1787964774 llm-proxy-7dc458997b-xcdqc   1910m   1887Mi   
1787964774 llm-proxy-7dc458997b-z2l44   4m      205Mi    
1787964774 llm-proxy-7dc458997b-z9mj6   3m      205Mi    
1787964845 llm-proxy-7dc458997b-25t6x   1888m   1182Mi   
1787964845 llm-proxy-7dc458997b-jrbrc   1879m   1089Mi   
1787964845 llm-proxy-7dc458997b-kpwgg   1904m   1929Mi   
1787964845 llm-proxy-7dc458997b-xcdqc   1909m   2057Mi   
1787964845 llm-proxy-7dc458997b-z2l44   5m      205Mi    
1787964845 llm-proxy-7dc458997b-z9mj6   4m      205Mi    
1787964915 llm-proxy-7dc458997b-25t6x   1660m   1322Mi   
1787964915 llm-proxy-7dc458997b-jrbrc   1748m   1109Mi   
1787964915 llm-proxy-7dc458997b-kpwgg   1712m   1990Mi   
1787964915 llm-proxy-7dc458997b-xcdqc   1793m   2160Mi   
1787964915 llm-proxy-7dc458997b-z2l44   4m      205Mi    
1787964915 llm-proxy-7dc458997b-z9mj6   4m      205Mi    
1787964986 llm-proxy-7dc458997b-25t6x   1755m   1361Mi   
1787964986 llm-proxy-7dc458997b-jrbrc   1575m   1179Mi   
