1787355943 llm-proxy-857bf6d79d-9gm2k   250m    2033Mi   
1787355943 llm-proxy-857bf6d79d-vb4kw   1907m   1414Mi   
1787356014 llm-proxy-857bf6d79d-9gm2k   254m    2037Mi   
1787356014 llm-proxy-857bf6d79d-vb4kw   1907m   1517Mi   
1787356085 llm-proxy-857bf6d79d-9gm2k   263m    2038Mi   
1787356085 llm-proxy-857bf6d79d-vb4kw   1647m   1697Mi   
1787356155 llm-proxy-857bf6d79d-9gm2k   252m    2035Mi   
1787356155 llm-proxy-857bf6d79d-vb4kw   1858m   1836Mi   
1787356225 llm-proxy-857bf6d79d-9gm2k   258m    2036Mi   
1787356225 llm-proxy-857bf6d79d-vb4kw   1713m   1921Mi   
1787356295 llm-proxy-857bf6d79d-9gm2k   1905m   1902Mi   
1787356295 llm-proxy-857bf6d79d-vb4kw   1901m   1940Mi   
