1787359081 llm-proxy-857bf6d79d-9gm2k   1915m   1550Mi   
1787359081 llm-proxy-857bf6d79d-vb4kw   1918m   1802Mi   
1787359151 llm-proxy-857bf6d79d-9gm2k   1906m   1888Mi   
1787359151 llm-proxy-857bf6d79d-vb4kw   1914m   1841Mi   
1787359221 llm-proxy-857bf6d79d-9gm2k   1912m   1951Mi   
1787359221 llm-proxy-857bf6d79d-vb4kw   1896m   1884Mi   
1787359291 llm-proxy-857bf6d79d-9gm2k   1895m   2013Mi   
1787359291 llm-proxy-857bf6d79d-vb4kw   1843m   1884Mi   
1787359362 llm-proxy-857bf6d79d-9gm2k   1916m   2037Mi   
1787359362 llm-proxy-857bf6d79d-vb4kw   1917m   2005Mi   
1787359433 llm-proxy-857bf6d79d-9gm2k   1326m   1963Mi   
1787359433 llm-proxy-857bf6d79d-vb4kw   1904m   2023Mi   
