1787359871 llm-proxy-857bf6d79d-9gm2k   377m    2031Mi   
1787359871 llm-proxy-857bf6d79d-vb4kw   1902m   1228Mi   
1787359941 llm-proxy-857bf6d79d-9gm2k   259m    2033Mi   
1787359941 llm-proxy-857bf6d79d-vb4kw   1895m   1337Mi   
1787360011 llm-proxy-857bf6d79d-9gm2k   251m    2031Mi   
1787360011 llm-proxy-857bf6d79d-vb4kw   1867m   1337Mi   
1787360081 llm-proxy-857bf6d79d-9gm2k   408m    2031Mi   
1787360081 llm-proxy-857bf6d79d-vb4kw   1908m   1418Mi   
1787360152 llm-proxy-857bf6d79d-9gm2k   1914m   777Mi    
1787360152 llm-proxy-857bf6d79d-vb4kw   1905m   1595Mi   
1787360222 llm-proxy-857bf6d79d-9gm2k   1925m   1019Mi   
1787360222 llm-proxy-857bf6d79d-vb4kw   1906m   1810Mi   
