27m   Normal    Starting                       node/ip-172-31-19-238.us-west-2.compute.internal   
24m   Normal    Starting                       node/ip-172-31-24-181.us-west-2.compute.internal   
23m   Normal    Starting                       node/ip-172-31-36-43.us-west-2.compute.internal    
27m   Normal    Starting                       node/ip-172-31-19-238.us-west-2.compute.internal   Starting kubelet.
27m   Warning   InvalidDiskCapacity            node/ip-172-31-19-238.us-west-2.compute.internal   invalid capacity 0 on image filesystem
27m   Normal    NodeHasSufficientMemory        node/ip-172-31-19-238.us-west-2.compute.internal   Node ip-172-31-19-238.us-west-2.compute.internal status is now: NodeHasSufficientMemory
27m   Normal    NodeHasNoDiskPressure          node/ip-172-31-19-238.us-west-2.compute.internal   Node ip-172-31-19-238.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
27m   Normal    NodeHasSufficientPID           node/ip-172-31-19-238.us-west-2.compute.internal   Node ip-172-31-19-238.us-west-2.compute.internal status is now: NodeHasSufficientPID
27m   Normal    NodeAllocatableEnforced        node/ip-172-31-19-238.us-west-2.compute.internal   Updated Node Allocatable limit across pods
27m   Normal    Starting                       node/ip-172-31-19-238.us-west-2.compute.internal   Starting kubelet.
27m   Warning   InvalidDiskCapacity            node/ip-172-31-19-238.us-west-2.compute.internal   invalid capacity 0 on image filesystem
27m   Normal    NodeAllocatableEnforced        node/ip-172-31-19-238.us-west-2.compute.internal   Updated Node Allocatable limit across pods
27m   Normal    NodeHasSufficientMemory        node/ip-172-31-19-238.us-west-2.compute.internal   Node ip-172-31-19-238.us-west-2.compute.internal status is now: NodeHasSufficientMemory
27m   Normal    NodeHasNoDiskPressure          node/ip-172-31-19-238.us-west-2.compute.internal   Node ip-172-31-19-238.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
27m   Normal    NodeHasSufficientPID           node/ip-172-31-19-238.us-west-2.compute.internal   Node ip-172-31-19-238.us-west-2.compute.internal status is now: NodeHasSufficientPID
27m   Normal    RegisteredNode                 node/ip-172-31-19-238.us-west-2.compute.internal   Node ip-172-31-19-238.us-west-2.compute.internal event: Registered Node ip-172-31-19-238.us-west-2.compute.internal in Controller
27m   Normal    NodeReady                      node/ip-172-31-19-238.us-west-2.compute.internal   Node ip-172-31-19-238.us-west-2.compute.internal status is now: NodeReady
