1788181223 llm-proxy-7dc458997b-2mbf2   6m     209Mi   
1788181223 llm-proxy-7dc458997b-6g7tv   4m     205Mi   
1788181223 llm-proxy-7dc458997b-g8lk5   4m     207Mi   
1788181223 llm-proxy-7dc458997b-qldww   253m   209Mi   
1788181223 llm-proxy-7dc458997b-zhfbx   195m   208Mi   
1788181223 llm-proxy-7dc458997b-zqjvv   253m   209Mi   
1788181288 llm-proxy-7dc458997b-2mbf2   1823m   307Mi   
1788181288 llm-proxy-7dc458997b-6g7tv   1799m   275Mi   
1788181288 llm-proxy-7dc458997b-g8lk5   1785m   321Mi   
1788181288 llm-proxy-7dc458997b-qldww   1871m   322Mi   
1788181288 llm-proxy-7dc458997b-zhfbx   1786m   305Mi   
1788181288 llm-proxy-7dc458997b-zqjvv   1616m   279Mi   
1788181353 llm-proxy-7dc458997b-2mbf2   1926m   552Mi   
1788181353 llm-proxy-7dc458997b-6g7tv   1926m   462Mi   
1788181353 llm-proxy-7dc458997b-g8lk5   1914m   529Mi   
1788181353 llm-proxy-7dc458997b-qldww   1916m   587Mi   
1788181353 llm-proxy-7dc458997b-zhfbx   1895m   527Mi   
1788181353 llm-proxy-7dc458997b-zqjvv   1792m   464Mi   
