ts,status,size,total_ms,upstream_ms
1788182857,200,large,47516.2,47475.8
1788182858,200,large,45689.0,45678.9
1788182859,200,large,47901.4,47892.5
1788182859,200,large,47906.7,47897.3
1788182860,200,large,50348.4,50338.6
1788182860,200,large,49527.8,49519.6
1788182862,200,large,50795.7,50764.3
1788182866,200,large,55665.5,55656.2
1788182866,200,large,56016.9,56008.1
1788182872,200,large,58943.5,58929.2
1788182899,200,large,41182.5,41174.5
1788182900,200,large,41016.0,41011.2
1788182906,200,large,44716.3,44713.5
1788182906,200,large,43962.1,43952.1
1788182907,200,large,96873.1,96865.2
1788182911,200,large,98738.8,98727.1
1788182911,200,large,100605.5,100600.6
1788182920,200,large,108566.1,108553.9
1788182923,200,large,110230.7,110216.7
1788182924,200,large,59931.9,59921.0
1788182932,200,large,119974.1,119957.4
1788182940,200,large,39799.4,39796.1
1788182940,200,large,39752.0,39740.5
1788182958,200,large,50511.7,50508.7
1788182958,200,large,16894.0,16884.0
1788182958,200,large,50423.3,50415.1
1788182959,200,large,147269.6,147253.7
1788182965,200,large,91359.6,91350.5
1788182966,200,large,153619.7,153610.1
1788182967,200,large,107132.4,107126.1
1788182969,200,large,44216.5,44212.4
1788182975,200,large,162163.6,162153.1
1788182980,200,large,39160.6,39156.2
