1788178748 llm-proxy-7dc458997b-ln97t   4m    2432Mi   
1788178748 llm-proxy-7dc458997b-mmn2x   4m    1722Mi   
1788178748 llm-proxy-7dc458997b-qz7kq   4m    1267Mi   
1788178748 llm-proxy-7dc458997b-tr4hs   4m    1632Mi   
1788178748 llm-proxy-7dc458997b-wll5c   4m    1404Mi   
1788178748 llm-proxy-7dc458997b-z5ltk   4m    1951Mi   
1788178813 llm-proxy-7dc458997b-ln97t   1919m   2611Mi   
1788178813 llm-proxy-7dc458997b-mmn2x   1739m   1823Mi   
1788178813 llm-proxy-7dc458997b-qz7kq   1918m   1387Mi   
1788178813 llm-proxy-7dc458997b-tr4hs   1912m   1753Mi   
1788178813 llm-proxy-7dc458997b-wll5c   1917m   1585Mi   
1788178813 llm-proxy-7dc458997b-z5ltk   1913m   2074Mi   
1788178878 llm-proxy-7dc458997b-ln97t   229m    2913Mi   
1788178878 llm-proxy-7dc458997b-mmn2x   1718m   2096Mi   
1788178878 llm-proxy-7dc458997b-qz7kq   1833m   1628Mi   
1788178878 llm-proxy-7dc458997b-tr4hs   1839m   1964Mi   
1788178878 llm-proxy-7dc458997b-wll5c   1833m   1705Mi   
1788178878 llm-proxy-7dc458997b-z5ltk   1893m   2274Mi   
