1788179388 llm-proxy-7dc458997b-5f27d   5m     205Mi   
1788179388 llm-proxy-7dc458997b-hndtn   319m   208Mi   
1788179388 llm-proxy-7dc458997b-k6dv8   248m   209Mi   
1788179388 llm-proxy-7dc458997b-mtj4g   274m   207Mi   
1788179388 llm-proxy-7dc458997b-qg977   255m   208Mi   
1788179453 llm-proxy-7dc458997b-5f27d   1909m   436Mi   
1788179453 llm-proxy-7dc458997b-968sq   1916m   436Mi   
1788179453 llm-proxy-7dc458997b-hndtn   1730m   353Mi   
1788179453 llm-proxy-7dc458997b-k6dv8   1906m   580Mi   
1788179453 llm-proxy-7dc458997b-mtj4g   1904m   441Mi   
1788179453 llm-proxy-7dc458997b-qg977   1918m   379Mi   
1788179518 llm-proxy-7dc458997b-5f27d   1912m   695Mi   
1788179518 llm-proxy-7dc458997b-968sq   1923m   757Mi   
1788179518 llm-proxy-7dc458997b-hndtn   1816m   513Mi   
1788179518 llm-proxy-7dc458997b-k6dv8   1904m   758Mi   
1788179518 llm-proxy-7dc458997b-mtj4g   1804m   661Mi   
1788179518 llm-proxy-7dc458997b-qg977   1912m   574Mi   
