ts,status,size,total_ms,upstream_ms
1788179982,200,medium,9347.8,9334.0
1788179989,200,medium,13548.4,13540.6
1788179991,200,medium,18146.6,18142.2
1788179992,200,medium,19429.5,19420.3
1788179992,200,medium,19488.5,19482.3
1788179993,200,medium,20563.7,20555.3
1788179994,200,medium,20188.0,20181.1
1788179994,200,medium,20219.0,20210.4
1788179994,200,medium,20403.5,20369.4
1788179994,200,medium,20380.0,20374.8
1788179994,200,medium,20417.9,20410.3
1788179995,200,medium,20559.8,20547.4
1788180004,200,medium,29292.7,29275.4
1788180011,200,medium,20898.4,20886.3
1788180012,200,medium,20736.4,20724.0
1788180014,200,medium,38207.3,38200.2
1788180014,200,medium,39319.7,39305.4
1788180015,200,medium,39230.6,39223.0
1788180015,200,medium,40241.8,40229.0
1788180015,200,medium,40514.8,40500.8
1788180016,200,medium,20762.6,20757.1
1788180016,200,medium,22606.9,22594.7
1788180016,200,medium,20668.9,20657.2
1788180017,200,medium,23967.5,23963.2
1788180025,200,medium,48597.2,48585.5
1788180025,200,medium,29823.5,29819.4
1788180027,200,medium,13507.9,13495.6
1788180031,200,medium,18839.9,18813.5
1788180035,200,medium,37761.9,37752.9
1788180035,200,medium,39608.7,39596.2
1788180035,200,medium,40417.0,40409.2
1788180036,200,medium,59869.1,59858.5
1788180036,200,medium,21220.3,21208.0
1788180038,200,medium,20335.8,20323.7
1788180038,200,medium,23188.5,23177.9
1788180038,200,medium,20218.2,20207.1
1788180045,200,medium,60832.2,60821.2
1788180045,200,medium,27447.4,27438.5
1788180049,200,medium,20035.0,20022.1
1788180051,200,medium,19740.7,19721.6
1788180054,200,medium,37201.3,37189.3
1788180055,200,medium,37078.2,37069.1
1788180056,200,medium,38460.5,38451.8
1788180056,200,medium,30510.2,30504.5
1788180056,200,medium,61259.1,61252.6
1788180058,200,medium,23157.8,23154.4
1788180059,200,medium,20278.7,20274.8
1788180059,200,medium,20119.1,20111.0
1788180060,200,medium,9413.9,9395.0
1788180063,200,medium,56545.0,56535.5
1788180066,200,medium,28592.9,28583.2
1788180068,200,medium,28029.9,28025.8
1788180073,200,medium,20616.7,20587.9
1788180075,200,medium,38221.1,38209.2
1788180075,200,medium,14661.6,14658.2
1788180076,200,medium,38948.1,38939.1
1788180077,200,medium,30511.1,30507.3
1788180078,200,medium,61486.4,61481.5
1788180080,200,medium,22902.7,22898.6
1788180081,200,medium,20218.6,20206.1
1788180081,200,medium,20559.8,20554.3
1788180083,200,medium,57551.6,57547.5
1788180086,200,medium,28217.7,28207.9
1788180088,200,medium,27697.7,27691.5
1788180093,200,medium,19519.7,19496.4
1788180095,200,medium,39016.9,39008.0
1788180096,200,medium,19871.9,19865.7
1788180096,200,medium,39130.8,39128.1
1788180097,200,medium,29828.9,29818.8
1788180098,200,medium,60826.5,60814.4
1788180100,200,medium,31929.5,31918.8
1788180102,200,medium,19474.2,19461.5
1788180102,200,medium,20023.2,20003.6
1788180103,200,medium,57629.2,57623.1
1788180106,200,medium,28304.3,28289.1
1788180108,200,medium,27563.3,27550.5
1788180115,200,medium,20092.5,20082.3
1788180116,200,medium,38862.5,38851.4
1788180117,200,medium,39018.5,39015.1
1788180117,200,medium,19691.3,19678.3
1788180118,200,medium,29766.3,29757.6
1788180118,200,medium,60293.7,60286.5
1788180122,200,medium,33411.5,33380.9
1788180123,200,medium,19513.2,19498.6
1788180124,200,medium,20768.1,20757.3
1788180126,200,medium,62455.4,62446.7
1788180129,200,medium,30235.7,30230.3
1788180130,200,medium,32289.5,32286.4
1788180131,200,medium,29127.7,29121.8
1788180136,200,medium,20254.2,20242.5
1788180137,200,medium,40802.4,40794.7
1788180140,200,medium,31782.5,31774.4
1788180140,200,medium,20843.7,20836.5
1788180141,200,medium,62063.1,62058.8
1788180143,200,medium,33930.9,33915.1
1788180144,200,medium,19383.9,19374.4
1788180145,200,medium,20309.2,20299.9
1788180146,200,medium,61189.6,61182.6
1788180149,200,medium,29687.0,29682.3
1788180151,200,medium,34444.4,34432.3
1788180151,200,medium,28099.9,28087.3
