1788187376 llm-proxy-7dc458997b-4k9mr   738m   1591Mi   
1788187376 llm-proxy-7dc458997b-54fsg   4m     2008Mi   
1788187376 llm-proxy-7dc458997b-678qz   4m     1769Mi   
1788187376 llm-proxy-7dc458997b-77tcs   4m     1894Mi   
1788187376 llm-proxy-7dc458997b-cxvjm   4m     1382Mi   
1788187376 llm-proxy-7dc458997b-nkmpw   4m     1503Mi   
1788187441 llm-proxy-7dc458997b-4k9mr   1918m   1616Mi   
1788187441 llm-proxy-7dc458997b-54fsg   1917m   2074Mi   
1788187441 llm-proxy-7dc458997b-678qz   1919m   1807Mi   
1788187441 llm-proxy-7dc458997b-77tcs   1915m   2033Mi   
1788187441 llm-proxy-7dc458997b-cxvjm   1918m   1539Mi   
1788187441 llm-proxy-7dc458997b-nkmpw   1916m   1503Mi   
1788187507 llm-proxy-7dc458997b-4k9mr   1913m   1735Mi   
1788187507 llm-proxy-7dc458997b-54fsg   1894m   2235Mi   
1788187507 llm-proxy-7dc458997b-678qz   1920m   2106Mi   
1788187507 llm-proxy-7dc458997b-77tcs   1899m   2130Mi   
1788187507 llm-proxy-7dc458997b-cxvjm   1920m   1479Mi   
1788187507 llm-proxy-7dc458997b-nkmpw   1908m   1503Mi   
