1788186218 llm-proxy-7dc458997b-4k9mr   4m     208Mi   
1788186218 llm-proxy-7dc458997b-54fsg   55m    205Mi   
1788186218 llm-proxy-7dc458997b-678qz   248m   205Mi   
1788186218 llm-proxy-7dc458997b-cxvjm   250m   205Mi   
1788186218 llm-proxy-7dc458997b-nkmpw   271m   205Mi   
1788186284 llm-proxy-7dc458997b-4k9mr   1851m   462Mi   
1788186284 llm-proxy-7dc458997b-54fsg   1923m   385Mi   
1788186284 llm-proxy-7dc458997b-678qz   1933m   406Mi   
1788186284 llm-proxy-7dc458997b-77tcs   1920m   533Mi   
1788186284 llm-proxy-7dc458997b-cxvjm   1933m   474Mi   
1788186284 llm-proxy-7dc458997b-nkmpw   1924m   382Mi   
1788186350 llm-proxy-7dc458997b-4k9mr   1915m   678Mi   
1788186350 llm-proxy-7dc458997b-54fsg   1921m   684Mi   
1788186350 llm-proxy-7dc458997b-678qz   1912m   793Mi   
1788186350 llm-proxy-7dc458997b-77tcs   1776m   912Mi   
1788186350 llm-proxy-7dc458997b-cxvjm   1920m   781Mi   
1788186350 llm-proxy-7dc458997b-nkmpw   1919m   821Mi   
