1788186509 llm-proxy-7dc458997b-4k9mr   4m     978Mi    
1788186509 llm-proxy-7dc458997b-54fsg   4m     950Mi    
1788186509 llm-proxy-7dc458997b-678qz   4m     953Mi    
1788186509 llm-proxy-7dc458997b-77tcs   4m     1047Mi   
1788186509 llm-proxy-7dc458997b-cxvjm   648m   1118Mi   
1788186509 llm-proxy-7dc458997b-nkmpw   4m     931Mi    
1788186574 llm-proxy-7dc458997b-4k9mr   1921m   998Mi    
1788186574 llm-proxy-7dc458997b-54fsg   1886m   1081Mi   
1788186574 llm-proxy-7dc458997b-678qz   1912m   1012Mi   
1788186574 llm-proxy-7dc458997b-77tcs   1922m   1167Mi   
1788186574 llm-proxy-7dc458997b-cxvjm   1914m   1266Mi   
1788186574 llm-proxy-7dc458997b-nkmpw   1928m   1172Mi   
1788186639 llm-proxy-7dc458997b-4k9mr   1916m   998Mi    
1788186639 llm-proxy-7dc458997b-54fsg   1913m   1402Mi   
1788186639 llm-proxy-7dc458997b-678qz   1921m   1130Mi   
1788186639 llm-proxy-7dc458997b-77tcs   1906m   1284Mi   
1788186639 llm-proxy-7dc458997b-cxvjm   1920m   1243Mi   
1788186639 llm-proxy-7dc458997b-nkmpw   1920m   1302Mi   
