ts,status,size,total_ms,upstream_ms
1787562910,200,small,34459.6,34448.6
1787562943,200,medium,66957.1,66927.3
1787562948,200,small,72114.4,72105.1
1787562948,200,medium,73169.2,73151.3
1787562951,200,large,75622.3,75609.8
1787562956,200,small,78802.9,78794.7
1787562962,200,small,84291.2,84272.4
1787562962,200,small,87049.6,87035.5
1787562967,200,small,89990.9,89979.4
1787562967,200,small,91115.3,91065.8
1787562970,200,medium,92990.0,92983.0
1787562988,200,medium,109569.3,109562.0
1787562988,200,medium,112082.4,112059.1
1787562990,200,large,114362.8,114349.7
1787562991,200,medium,79673.2,79660.5
1787562994,200,small,117336.0,117313.8
