ts,status,size,total_ms,upstream_ms
1787557460,200,small,8677.4,8663.7
1787557460,200,small,8985.4,8976.0
1787557466,200,small,15201.4,15187.3
1787557468,200,small,16741.8,16730.1
1787557473,200,small,21744.0,21729.9
1787557473,200,small,21040.3,21005.2
1787557478,200,small,26077.6,26050.3
1787557479,200,small,26817.3,26751.5
1787557484,200,small,32026.0,31980.1
1787557484,200,small,32034.6,32008.8
1787557489,200,small,36336.0,36320.9
1787557489,200,small,36343.3,36327.3
1787557495,200,small,41667.8,41639.3
1787557495,200,small,41674.5,41632.6
1787557500,200,small,46002.3,45968.5
1787557500,200,small,47011.1,46981.7
1787557507,200,small,52837.3,52824.8
1787557507,200,small,52845.8,52783.7
1787557512,200,small,58193.8,58142.9
1787557512,200,small,58202.9,58189.8
1787557517,200,small,56975.8,56964.7
1787557517,200,small,56918.8,56911.9
1787557523,200,small,53869.7,53856.9
1787557523,200,small,56178.6,56170.7
1787557528,200,small,53915.7,53902.7
1787557528,200,small,54756.6,54748.7
1787557533,200,small,53605.6,53600.0
1787557533,200,small,54256.4,54248.4
1787557539,200,small,53930.4,53918.4
1787557539,200,small,53617.0,53608.3
1787557544,200,small,53659.1,53649.1
1787557544,200,small,52807.9,52804.0
1787557549,200,small,52622.1,52613.7
1787557549,200,small,53669.0,53663.6
1787557554,200,small,52783.0,52765.0
1787557554,200,small,53659.2,53653.2
1787557560,200,small,50973.7,50966.7
1787557560,200,small,51742.8,51732.7
1787557566,200,small,52546.9,52539.8
1787557566,200,small,52943.9,52938.5
