1788161677 llm-proxy-7dc458997b-98hkx   1901m   904Mi    
1788161677 llm-proxy-7dc458997b-lv79g   1696m   946Mi    
1788161677 llm-proxy-7dc458997b-nx868   1845m   1006Mi   
1788161677 llm-proxy-7dc458997b-pxn5p   1862m   1808Mi   
1788161677 llm-proxy-7dc458997b-ql6mx   1902m   1327Mi   
1788161677 llm-proxy-7dc458997b-sg488   1907m   798Mi    
1788161744 llm-proxy-7dc458997b-98hkx   1907m   946Mi    
1788161744 llm-proxy-7dc458997b-lv79g   1897m   1005Mi   
1788161744 llm-proxy-7dc458997b-nx868   1911m   1006Mi   
1788161744 llm-proxy-7dc458997b-pxn5p   1902m   2046Mi   
1788161744 llm-proxy-7dc458997b-ql6mx   1898m   1386Mi   
1788161744 llm-proxy-7dc458997b-sg488   1909m   877Mi    
1788161811 llm-proxy-7dc458997b-98hkx   1900m   946Mi    
1788161811 llm-proxy-7dc458997b-lv79g   1889m   972Mi    
1788161811 llm-proxy-7dc458997b-nx868   1659m   1147Mi   
1788161811 llm-proxy-7dc458997b-pxn5p   1902m   2360Mi   
1788161811 llm-proxy-7dc458997b-ql6mx   1908m   1426Mi   
1788161811 llm-proxy-7dc458997b-sg488   1910m   877Mi    
