1788161883 llm-proxy-7dc458997b-98hkx   1904m   967Mi    
1788161883 llm-proxy-7dc458997b-lv79g   1899m   1011Mi   
1788161883 llm-proxy-7dc458997b-nx868   1657m   1383Mi   
1788161883 llm-proxy-7dc458997b-pxn5p   1688m   2842Mi   
1788161883 llm-proxy-7dc458997b-ql6mx   1907m   1426Mi   
1788161883 llm-proxy-7dc458997b-sg488   1909m   856Mi    
1788161951 llm-proxy-7dc458997b-98hkx   1911m   1007Mi   
1788161951 llm-proxy-7dc458997b-lv79g   1298m   1129Mi   
1788161951 llm-proxy-7dc458997b-nx868   1909m   1442Mi   
1788161951 llm-proxy-7dc458997b-pxn5p   209m    2918Mi   
1788161951 llm-proxy-7dc458997b-ql6mx   1891m   1445Mi   
1788161951 llm-proxy-7dc458997b-sg488   1904m   1033Mi   
1788162018 llm-proxy-7dc458997b-98hkx   1866m   1026Mi   
1788162018 llm-proxy-7dc458997b-lv79g   1313m   1485Mi   
1788162018 llm-proxy-7dc458997b-nx868   1888m   1442Mi   
1788162018 llm-proxy-7dc458997b-pxn5p   213m    2879Mi   
1788162018 llm-proxy-7dc458997b-ql6mx   1784m   1445Mi   
1788162018 llm-proxy-7dc458997b-sg488   1882m   1191Mi   
