1788162698 llm-proxy-7dc458997b-98hkx   735m    1579Mi   
1788162698 llm-proxy-7dc458997b-lv79g   1862m   2641Mi   
1788162698 llm-proxy-7dc458997b-nx868   197m    2916Mi   
1788162698 llm-proxy-7dc458997b-pxn5p   222m    2845Mi   
1788162698 llm-proxy-7dc458997b-ql6mx   632m    2572Mi   
1788162698 llm-proxy-7dc458997b-sg488   753m    2491Mi   
1788162765 llm-proxy-7dc458997b-98hkx   1725m   1678Mi   
1788162765 llm-proxy-7dc458997b-lv79g   1829m   2686Mi   
1788162765 llm-proxy-7dc458997b-nx868   197m    2921Mi   
1788162765 llm-proxy-7dc458997b-pxn5p   221m    2832Mi   
1788162765 llm-proxy-7dc458997b-ql6mx   1904m   2613Mi   
1788162765 llm-proxy-7dc458997b-sg488   1907m   2511Mi   
1788162833 llm-proxy-7dc458997b-98hkx   1823m   1934Mi   
1788162833 llm-proxy-7dc458997b-lv79g   1850m   2789Mi   
1788162833 llm-proxy-7dc458997b-nx868   201m    2870Mi   
1788162833 llm-proxy-7dc458997b-pxn5p   227m    2848Mi   
1788162833 llm-proxy-7dc458997b-ql6mx   1907m   2613Mi   
1788162833 llm-proxy-7dc458997b-sg488   1862m   2720Mi   
