1788162903 llm-proxy-7dc458997b-98hkx   1741m   2052Mi   
1788162903 llm-proxy-7dc458997b-lv79g   1824m   2784Mi   
1788162903 llm-proxy-7dc458997b-nx868   196m    2837Mi   
1788162903 llm-proxy-7dc458997b-pxn5p   224m    2838Mi   
1788162903 llm-proxy-7dc458997b-ql6mx   1906m   2613Mi   
1788162903 llm-proxy-7dc458997b-sg488   186m    2911Mi   
1788162971 llm-proxy-7dc458997b-98hkx   1526m   2288Mi   
1788162971 llm-proxy-7dc458997b-lv79g   1901m   2790Mi   
1788162971 llm-proxy-7dc458997b-nx868   228m    2847Mi   
1788162971 llm-proxy-7dc458997b-pxn5p   237m    2840Mi   
1788162971 llm-proxy-7dc458997b-ql6mx   1875m   2613Mi   
1788162971 llm-proxy-7dc458997b-sg488   195m    2911Mi   
1788163037 llm-proxy-7dc458997b-98hkx   1523m   2424Mi   
1788163037 llm-proxy-7dc458997b-lv79g   1753m   2815Mi   
1788163037 llm-proxy-7dc458997b-nx868   226m    2844Mi   
1788163037 llm-proxy-7dc458997b-pxn5p   237m    2837Mi   
1788163037 llm-proxy-7dc458997b-ql6mx   1863m   2613Mi   
1788163037 llm-proxy-7dc458997b-sg488   183m    2889Mi   
