1787753611 llm-proxy-7dc458997b-l75rs   5m    427Mi   
1787753638 llm-proxy-7dc458997b-l75rs   1548m   594Mi   
1787753664 llm-proxy-7dc458997b-l75rs   1774m   671Mi   
1787753690 llm-proxy-7dc458997b-l75rs   1909m   887Mi   
1787753717 llm-proxy-7dc458997b-l75rs   1907m   906Mi   
1787753742 llm-proxy-7dc458997b-l75rs   1916m   1067Mi   
1787753768 llm-proxy-7dc458997b-l75rs   1913m   1204Mi   
1787753794 llm-proxy-7dc458997b-l75rs   1912m   1279Mi   
1787753820 llm-proxy-7dc458997b-45z8b   280m    483Mi    
1787753820 llm-proxy-7dc458997b-l75rs   1902m   1258Mi   
1787753846 llm-proxy-7dc458997b-45z8b   4m      483Mi    
1787753846 llm-proxy-7dc458997b-l75rs   1831m   1318Mi   
1787753872 llm-proxy-7dc458997b-45z8b   5m      484Mi    
1787753872 llm-proxy-7dc458997b-l75rs   1908m   1399Mi   
1787753898 llm-proxy-7dc458997b-45z8b   4m      482Mi    
1787753898 llm-proxy-7dc458997b-l75rs   1768m   1469Mi   
1787753924 llm-proxy-7dc458997b-45z8b   5m      483Mi    
1787753924 llm-proxy-7dc458997b-l75rs   1912m   1469Mi   
1787753950 llm-proxy-7dc458997b-45z8b   1718m   575Mi    
1787753950 llm-proxy-7dc458997b-l75rs   1920m   1528Mi   
1787753976 llm-proxy-7dc458997b-45z8b   1892m   575Mi    
1787753976 llm-proxy-7dc458997b-l75rs   1908m   1593Mi   
