29m     Normal    Starting                       node/ip-172-31-33-137.ec2.internal   
32m     Normal    Starting                       node/ip-172-31-40-80.ec2.internal    
29m     Normal    Starting                       node/ip-172-31-15-132.ec2.internal   
32m     Normal    NodeHasSufficientPID           node/ip-172-31-40-80.ec2.internal    Node ip-172-31-40-80.ec2.internal status is now: NodeHasSufficientPID
32m     Normal    NodeHasNoDiskPressure          node/ip-172-31-40-80.ec2.internal    Node ip-172-31-40-80.ec2.internal status is now: NodeHasNoDiskPressure
32m     Normal    NodeHasSufficientMemory        node/ip-172-31-40-80.ec2.internal    Node ip-172-31-40-80.ec2.internal status is now: NodeHasSufficientMemory
32m     Normal    NodeAllocatableEnforced        node/ip-172-31-40-80.ec2.internal    Updated Node Allocatable limit across pods
32m     Warning   InvalidDiskCapacity            node/ip-172-31-40-80.ec2.internal    invalid capacity 0 on image filesystem
32m     Normal    Starting                       node/ip-172-31-40-80.ec2.internal    Starting kubelet.
32m     Normal    RegisteredNode                 node/ip-172-31-40-80.ec2.internal    Node ip-172-31-40-80.ec2.internal event: Registered Node ip-172-31-40-80.ec2.internal in Controller
32m     Normal    NodeReady                      node/ip-172-31-40-80.ec2.internal    Node ip-172-31-40-80.ec2.internal status is now: NodeReady
29m     Normal    NodeHasSufficientMemory        node/ip-172-31-33-137.ec2.internal   Node ip-172-31-33-137.ec2.internal status is now: NodeHasSufficientMemory
29m     Normal    NodeAllocatableEnforced        node/ip-172-31-33-137.ec2.internal   Updated Node Allocatable limit across pods
29m     Normal    NodeHasSufficientPID           node/ip-172-31-33-137.ec2.internal   Node ip-172-31-33-137.ec2.internal status is now: NodeHasSufficientPID
29m     Normal    NodeHasNoDiskPressure          node/ip-172-31-33-137.ec2.internal   Node ip-172-31-33-137.ec2.internal status is now: NodeHasNoDiskPressure
29m     Normal    Starting                       node/ip-172-31-33-137.ec2.internal   Starting kubelet.
29m     Normal    RegisteredNode                 node/ip-172-31-33-137.ec2.internal   Node ip-172-31-33-137.ec2.internal event: Registered Node ip-172-31-33-137.ec2.internal in Controller
29m     Normal    NodeReady                      node/ip-172-31-33-137.ec2.internal   Node ip-172-31-33-137.ec2.internal status is now: NodeReady
29m     Normal    NodeHasSufficientMemory        node/ip-172-31-15-132.ec2.internal   Node ip-172-31-15-132.ec2.internal status is now: NodeHasSufficientMemory
29m     Normal    NodeAllocatableEnforced        node/ip-172-31-15-132.ec2.internal   Updated Node Allocatable limit across pods
29m     Normal    NodeHasSufficientPID           node/ip-172-31-15-132.ec2.internal   Node ip-172-31-15-132.ec2.internal status is now: NodeHasSufficientPID
29m     Normal    NodeHasNoDiskPressure          node/ip-172-31-15-132.ec2.internal   Node ip-172-31-15-132.ec2.internal status is now: NodeHasNoDiskPressure
29m     Normal    RegisteredNode                 node/ip-172-31-15-132.ec2.internal   Node ip-172-31-15-132.ec2.internal event: Registered Node ip-172-31-15-132.ec2.internal in Controller
29m     Normal    NodeReady                      node/ip-172-31-15-132.ec2.internal   Node ip-172-31-15-132.ec2.internal status is now: NodeReady
23m     Normal    Scheduled                      pod/llm-proxy-7dc458997b-l75rs       Successfully assigned default/llm-proxy-7dc458997b-l75rs to ip-172-31-15-132.ec2.internal
23m     Normal    SuccessfulCreate               replicaset/llm-proxy-7dc458997b      Created pod: llm-proxy-7dc458997b-l75rs
23m     Normal    ScalingReplicaSet              deployment/llm-proxy                 Scaled up replica set llm-proxy-7dc458997b from 0 to 1
23m     Normal    Pulling                        pod/llm-proxy-7dc458997b-l75rs       Pulling image "curlimages/curl:8.21.0"
23m     Normal    Started                        pod/llm-proxy-7dc458997b-l75rs       Container started
23m     Normal    Created                        pod/llm-proxy-7dc458997b-l75rs       Container created
23m     Normal    Pulled                         pod/llm-proxy-7dc458997b-l75rs       Successfully pulled image "curlimages/curl:8.21.0" in 821ms (821ms including waiting). Image size: 10652192 bytes.
21m     Normal    Pulling                        pod/llm-proxy-7dc458997b-l75rs       Pulling image "ghcr.io/ggml-org/llama.cpp:server"
