1787753990 llm-proxy-7dc458997b-45z8b   1892m   575Mi    
1787753990 llm-proxy-7dc458997b-l75rs   1900m   1613Mi   
1787754016 llm-proxy-7dc458997b-45z8b   1880m   796Mi    
1787754016 llm-proxy-7dc458997b-l75rs   1909m   1626Mi   
1787754041 llm-proxy-7dc458997b-45z8b   1887m   811Mi    
1787754041 llm-proxy-7dc458997b-l75rs   1635m   1816Mi   
1787754067 llm-proxy-7dc458997b-45z8b   1905m   931Mi    
1787754067 llm-proxy-7dc458997b-l75rs   1825m   1814Mi   
1787754093 llm-proxy-7dc458997b-45z8b   1737m   1004Mi   
1787754093 llm-proxy-7dc458997b-l75rs   1768m   1854Mi   
1787754119 llm-proxy-7dc458997b-45z8b   1821m   1102Mi   
1787754119 llm-proxy-7dc458997b-l75rs   1257m   2040Mi   
1787754145 llm-proxy-7dc458997b-45z8b   1766m   1161Mi   
1787754145 llm-proxy-7dc458997b-l75rs   1853m   2067Mi   
1787754171 llm-proxy-7dc458997b-45z8b   1890m   1225Mi   
1787754171 llm-proxy-7dc458997b-l75rs   1914m   2090Mi   
1787754198 llm-proxy-7dc458997b-45z8b   1799m   1384Mi   
1787754198 llm-proxy-7dc458997b-l75rs   1904m   2068Mi   
1787754224 llm-proxy-7dc458997b-45z8b   1887m   1441Mi   
1787754224 llm-proxy-7dc458997b-l75rs   1931m   2068Mi   
1787754251 llm-proxy-7dc458997b-45z8b   1665m   1482Mi   
1787754251 llm-proxy-7dc458997b-l75rs   1916m   2177Mi   
1787754277 llm-proxy-7dc458997b-45z8b   1877m   1520Mi   
1787754277 llm-proxy-7dc458997b-l75rs   1827m   2220Mi   
1787754303 llm-proxy-7dc458997b-45z8b   1898m   1495Mi   
1787754303 llm-proxy-7dc458997b-l75rs   1390m   2196Mi   
1787754330 llm-proxy-7dc458997b-45z8b   1882m   1557Mi   
1787754330 llm-proxy-7dc458997b-l75rs   1914m   2196Mi   
1787754355 llm-proxy-7dc458997b-45z8b   1897m   1557Mi   
1787754355 llm-proxy-7dc458997b-l75rs   1903m   2196Mi   
