1787754368 llm-proxy-7dc458997b-45z8b   1886m   1761Mi   
1787754368 llm-proxy-7dc458997b-l75rs   1923m   2215Mi   
1787754394 llm-proxy-7dc458997b-45z8b   1888m   1848Mi   
1787754394 llm-proxy-7dc458997b-l75rs   1854m   2306Mi   
1787754419 llm-proxy-7dc458997b-45z8b   1742m   1847Mi   
1787754419 llm-proxy-7dc458997b-l75rs   1898m   2305Mi   
1787754446 llm-proxy-7dc458997b-45z8b   4m      1842Mi   
1787754446 llm-proxy-7dc458997b-l75rs   1892m   2305Mi   
1787754473 llm-proxy-7dc458997b-45z8b   4m      1842Mi   
1787754473 llm-proxy-7dc458997b-l75rs   1911m   2305Mi   
1787754499 llm-proxy-7dc458997b-45z8b   4m      1842Mi   
1787754499 llm-proxy-7dc458997b-l75rs   1761m   2355Mi   
1787754525 llm-proxy-7dc458997b-45z8b   1903m   1882Mi   
1787754525 llm-proxy-7dc458997b-l75rs   1918m   2355Mi   
1787754552 llm-proxy-7dc458997b-45z8b   1901m   1882Mi   
1787754552 llm-proxy-7dc458997b-l75rs   1912m   2355Mi   
1787754579 llm-proxy-7dc458997b-45z8b   1766m   1880Mi   
1787754579 llm-proxy-7dc458997b-l75rs   1834m   2423Mi   
1787754605 llm-proxy-7dc458997b-45z8b   1902m   1942Mi   
1787754605 llm-proxy-7dc458997b-l75rs   1918m   2423Mi   
1787754631 llm-proxy-7dc458997b-45z8b   1580m   1999Mi   
1787754631 llm-proxy-7dc458997b-l75rs   1616m   2456Mi   
1787754657 llm-proxy-7dc458997b-45z8b   1871m   2024Mi   
1787754657 llm-proxy-7dc458997b-l75rs   1670m   2490Mi   
1787754683 llm-proxy-7dc458997b-45z8b   1649m   2088Mi   
1787754683 llm-proxy-7dc458997b-l75rs   1670m   2490Mi   
1787754709 llm-proxy-7dc458997b-45z8b   1894m   2088Mi   
1787754709 llm-proxy-7dc458997b-l75rs   1907m   2559Mi   
1787754735 llm-proxy-7dc458997b-45z8b   1761m   2101Mi   
1787754735 llm-proxy-7dc458997b-l75rs   1876m   2621Mi   
