scenario,n_runs,throughput_req_s_mean,p50_ms_mean,p95_ms_mean,error_rate_pct_mean,max_pods
testB level 10,5,0.185,41201.8,139000.0,25.3,2
testB level 20,5,0.195,81800.0,222200.0,22.6,2
testB level 30,5,0.183,140400.0,253200.0,22.0,2
testB level 40,5,0.235,197600.0,274000.0,55.9,2
testB level 50,5,0.206,189200.0,295200.0,33.4,2
testC small,10,0.458,38000.0,45750.0,1.2,1
testC medium,10,0.06,86875.0,109375.0,13.64,2
testC large,10,0.009,92333.3,106666.7,0.0,2
testC mix,10,0.105,92700.0,111400.0,0.0,2
testD burst,3,0.136,21666.7,55333.3,0.0,2
